Time, Ch01, Ch02, Ch03, Ch04, Ch05, Ch06, Ch07, Ch08, Ch09, Ch10, Ch11, Ch12, Ch13
0.144,-200000,-200000,-200000,-200000,-200000,-200000,45219.92578125,13009.2470703125,169240528,15236272,2308525.5,4033613.25,49659.73828125
0.148,-200000,-200000,-200000,-200000,-200000,-200000,43545.8671875,13622.7998046875,185580672,18947884,2870890.75,4033613.25,49973.04296875
0.152,-200000,-200000,-200000,-200000,-200000,-200000,44602.83203125,13899.828125,193205216,22811990,3456361.5,4033613.25,50684.09375
0.156,-200000,-200000,-200000,-200000,-200000,-200000,46432.57421875,13801.9248046875,190493136,26621852,4033613.25,4033613.25,50526.3125
0.16,-200000,-200000,-200000,-200000,-200000,-200000,45569.0859375,13300.177734375,176894720,30159750,4569658.5,4033613.25,49745.94921875
0.164,-200000,-200000,-200000,-200000,-200000,-200000,43624.1171875,12376.630859375,153181008,33223370,5033843,4033613.25,49776.625
0.168,-200000,-200000,-200000,-200000,-200000,-200000,44366.79296875,11025.40625,121559592,35654560,5402205.5,4033613.25,50628.5234375
0.172,-200000,-200000,-200000,-200000,-200000,-200000,46298.19921875,9253.4580078125,85626480,37367092,5661680,4033613.25,50666.9296875
0.176,-200000,-200000,-200000,-200000,-200000,-200000,45831.96875,7080.95556640625,50139928,38369888,5813618.5,4033613.25,49799.3984375
0.18,-200000,-200000,-200000,-200000,-200000,-200000,43861.20703125,4541.22509765625,20622726,38782348,5876112,4033613.25,49663.23828125
0.184,-200000,-200000,-200000,-200000,-200000,-200000,44159.4375,1680.2855224609375,2823359.5,38838808,5884667,4033613.25,50568.13671875
0.188,-200000,-200000,-200000,-200000,-200000,-200000,46060.375,-1444.0426025390625,2085259,38880512,5890986.5,4033613.25,50751.95703125
0.192,-200000,-200000,-200000,-200000,-200000,-200000,46067.09375,-4763.4169921875,22690140,39334316,5959744,4033613.25,49876.21875
0.196,-200000,-200000,-200000,-200000,-200000,-200000,44184.73828125,-8200.6142578125,67250072,40679320,6163532,6163532,49588.70703125
0.2,-200000,-200000,-200000,-200000,-200000,-200000,43982.58203125,-11671.4765625,136223360,43403788,6576330.5,6163532,50475.7421875
0.204,-200000,-200000,-200000,-200000,-200000,-200000,45776.9921875,-15087.1357421875,227621680,47956216,7266092,6163532,50806.64453125
0.208,-200000,-200000,-200000,-200000,-200000,-200000,46271.04296875,-18356.412109375,336957856,54695380,8287178.5,6163532,49978.57421875
