Time, Ch01, Ch02, Ch03, Ch04, Ch05, Ch06, Ch07,t_rel,idx
173.696,-48834.875,-88882.859375,-99370.625,-3502.965576171875,-92826.8515625,-48106.4375,-47989.75,-1.998625600008296,6
173.7,-49017.71875,-88034.3984375,-98901.421875,-3629.327392578125,-91804.4140625,-48215.6796875,-48726.46875,-1.9946256000083054,6
173.704,-49178.3671875,-88557.671875,-99221.4765625,-3586.31640625,-92489.796875,-48190.6875,-48038.73046875,-1.9906256000082863,6
173.708,-49034.5234375,-89593.7109375,-99798.734375,-3440.905029296875,-93765.984375,-48083.8046875,-47083.40625,-1.9866256000082956,6
173.712,-48845.6484375,-89074.9765625,-99485.8359375,-3490.067138671875,-93070.5625,-48100.1171875,-47801.6171875,-1.982625600008305,6
173.716,-48984.36328125,-88089.234375,-98936.984375,-3631.759033203125,-91856.3515625,-48214.73046875,-48728.33203125,-1.9786256000082858,6
173.72,-49185.5625,-88389.1015625,-99133.3359375,-3617.668701171875,-92280.9765625,-48217.34375,-48237.33203125,-1.9746256000082951,6
173.724,-49099.375,-89524.5234375,-99768.5859375,-3468.751953125,-93689.2109375,-48107.3125,-47136.6171875,-1.9706256000083044,6
173.728,-48870.8984375,-89244.6640625,-99591.859375,-3482.938232421875,-93283.921875,-48099.8046875,-47637.34375,-1.9666256000082853,6
173.732,-48959.23828125,-88201.8984375,-99007.5625,-3626.6328125,-91987.1484375,-48218.30078125,-48677.7109375,-1.9626256000082947,6
173.736,-49177.98828125,-88268.375,-99064.359375,-3641.748779296875,-92121.0625,-48242.88671875,-48408.20703125,-1.958625600008304,6
173.74,-49142.29296875,-89390.5234375,-99702.171875,-3498.602294921875,-93531.3359375,-48132.15625,-47253.875,-1.954625600008285,6
173.744,-48877.6484375,-89384.8515625,-99674.6015625,-3471.970703125,-93467.1484375,-48086.36328125,-47467.33203125,-1.9506256000082942,6
173.748,-48917.2734375,-88354.421875,-99092.171875,-3605.819091796875,-92171.6640625,-48194.5546875,-48546.51171875,-1.9466256000083035,6
173.752,-49171.73828125,-88160.046875,-99004.5625,-3650.641845703125,-91991.4609375,-48251.1796875,-48543.3125,-1.9426256000082844,6
173.756,-49167.46875,-89208.0234375,-99603.2890625,-3533.530517578125,-93311.5390625,-48154.95703125,-47426.6796875,-1.9386256000082938,6
173.76,-48972.5859375,-89477.4765625,-99738.0390625,-3444.719482421875,-93597.5625,-48116.73828125,-47381.1171875,-1.934625600008303,6
173.764,-48860.625,-88560.0390625,-99208.1015625,-3604.651123046875,-92420.2734375,-48164.11328125,-48363.42578125,-1.930625600008284,6
173.768,-49137.26171875,-88105.9765625,-98971.125,-3670.12060546875,-91920.171875,-48258.3046875,-48646.88671875,-1.9266256000082933,6
173.772,-49229.51171875,-88991.9609375,-99488.2265625,-3564.76318359375,-93048.484375,-48189.57421875,-47653.65625,-1.9226256000083026,6
173.776,-48966.7421875,-89595.5390625,-99812.0234375,-3475.785888671875,-93750.859375,-48104.60546875,-47239.5234375,-1.9186256000082835,6
173.78,-48945.14453125,-88720.375,-99307.6015625,-3552.842529296875,-92629.796875,-48191.98046875,-48254.46875,-1.9146256000082928,6
173.784,-49069.3359375,-88097.171875,-98967.4375,-3701.401123046875,-91892.5234375,-48246.79296875,-48702.3359375,-1.9106256000083022,6
173.788,-49224.55078125,-88793.4765625,-99382.1875,-3609.56201171875,-92796.4609375,-48214.0546875,-47870.7109375,-1.906625600008283,6
173.792,-49042.51953125,-89630.7265625,-99840.359375,-3477.93115234375,-93808.5859375,-48119.66796875,-47172.98046875,-1.9026256000082924,6
173.796,-48880.91796875,-88946.3984375,-99436.8125,-3565.192626953125,-92908.5390625,-48157.69921875,-48025.32421875,-1.8986256000083017,6
173.8,-49122.19921875,-88062.171875,-98950.984375,-3667.974609375,-91849.921875,-48287.0859375,-48812.6796875,-1.8946256000082826,6
173.804,-49189.9296875,-88608.484375,-99278.9375,-3661.227783203125,-92560.1640625,-48223.55078125,-48068.3359375,-1.890625600008292,6
173.808,-49086.07421875,-89637.3359375,-99850.75,-3498.864501953125,-93830.1015625,-48136.23828125,-47130.11328125,-1.8866256000083013,6
173.812,-48918.63671875,-89119.125,-99541.3125,-3542.99560546875,-93136.171875,-48152.3984375,-47848.80078125,-1.8826256000082822,6
173.816,-49032.14453125,-88148.9375,-98999.8125,-3694.821044921875,-91936.4140625,-48268.08203125,-48774.1484375,-1.8786256000082915,6
173.82,-49286.0546875,-88403.375,-99170.5,-3656.602294921875,-92314.9765625,-48292.16796875,-48331.38671875,-1.8746256000083008,6
173.824,-49104.79296875,-89574.3125,-99820.1015625,-3542.99560546875,-93762.921875,-48137.95703125,-47158.4609375,-1.8706256000082817,6
173.828,-48912.95703125,-89292.7734375,-99640.875,-3539.80078125,-93362.046875,-48142.39453125,-47669.625,-1.866625600008291,6
173.832,-49019.89453125,-88239.3515625,-99053.4609375,-3678.44140625,-92049.3515625,-48263.67578125,-48724.63671875,-1.8626256000083004,6
173.836,-49221.73828125,-88308.1875,-99116.4765625,-3707.504638671875,-92188.0859375,-48289.85546875,-48462.15625,-1.8586256000082813,6
173.84,-49248.4375,-89398.609375,-99729.3515625,-3543.043701171875,-93563.921875,-48205.8046875,-47348.0234375,-1.8546256000082906,6
173.844,-48904.8046875,-89451.796875,-99740.609375,-3556.800048828125,-93563.2109375,-48129.34375,-47494.73046875,-1.8506256000083,6
173.848,-48968.19921875,-88407.9609375,-99150.234375,-3671.098388671875,-92254.6875,-48250.39453125,-48593.9296875,-1.8466256000082808,6
173.852,-49221.92578125,-88195.25,-99049.1875,-3714.37109375,-92051.625,-48301.89453125,-48606.76171875,-1.8426256000082901,6
173.856,-49228.125,-89237.7890625,-99645.0,-3600.478515625,-93365.359375,-48209.21875,-47490.3359375,-1.8386256000082994,6
173.86,-49034.29296875,-89523.171875,-99791.7109375,-3512.669189453125,-93671.734375,-48169.85546875,-47427.1796875,-1.8346256000082803,6
173.864,-48917.4375,-88614.1875,-99265.5625,-3670.955078125,-92499.9140625,-48218.46875,-48409.73046875,-1.8306256000082897,6
173.868,-49188.8046875,-88148.2265625,-99020.796875,-3735.470703125,-91981.421875,-48313.14453125,-48706.70703125,-1.826625600008299,6
173.872,-49282.36328125,-89021.1015625,-99528.1640625,-3630.39990234375,-93097.125,-48244.1171875,-47716.66796875,-1.82262560000828,6
173.876,-49025.23046875,-89639.2265625,-99862.671875,-3539.729736328125,-93818.359375,-48160.71875,-47283.67578125,-1.8186256000082892,6
173.88,-48998.2421875,-88768.0234375,-99361.2109375,-3616.452392578125,-92703.25,-48245.5546875,-48296.21875,-1.8146256000082985,6
173.884,-49119.6875,-88136.984375,-99013.4609375,-3762.173828125,-91949.3515625,-48303.82421875,-48762.46875,-1.8106256000083079,6
173.888,-49278.79296875,-88818.4375,-99420.796875,-3669.42919921875,-92841.796875,-48268.20703125,-47934.08203125,-1.8066256000082888,6
173.892,-49099.16796875,-89665.984375,-99884.734375,-3536.89208984375,-93866.4765625,-48175.53125,-47219.8046875,-1.802625600008298,6
173.896,-48936.82421875,-88994.8125,-99489.5,-3621.483154296875,-92977.671875,-48217.11328125,-48071.19921875,-1.7986256000083074,6
173.9,-49172.28125,-88103.171875,-98994.875,-3727.341064453125,-91907.8984375,-48348.09375,-48871.875,-1.7946256000082883,6
173.904,-49239.92578125,-88638.4609375,-99322.8359375,-3723.526611328125,-92603.375,-48284.08203125,-48133.6171875,-1.7906256000082976,6
173.908,-49137.57421875,-89672.9609375,-99897.1640625,-3561.90234375,-93882.375,-48190.2109375,-47185.96875,-1.786625600008307,6
173.912,-48965.9296875,-89166.6875,-99592.2265625,-3598.73779296875,-93199.234375,-48205.64453125,-47887.78125,-1.7826256000082878,6
173.916,-49076.73046875,-88185.2734375,-99046.3359375,-3747.53515625,-91990.4140625,-48320.2734375,-48819.98046875,-1.7786256000082972,6
173.92,-49335.53125,-88433.8515625,-99214.0859375,-3711.319580078125,-92358.4609375,-48345.33203125,-48395.96875,-1.7746256000083065,6
173.924,-49159.21875,-89608.484375,-99869.1640625,-3601.313232421875,-93809.7890625,-48196.3671875,-47220.46875,-1.7706256000082874,6
173.928,-48968.10546875,-89344.8515625,-99700.7265625,-3595.99609375,-93427.0625,-48206.0,-47719.40625,-1.7666256000082967,6
173.932,-49072.2421875,-88290.2734375,-99112.1484375,-3734.85107421875,-92112.4609375,-48321.70703125,-48779.25,-1.762625600008306,6
173.936,-49275.875,-88344.3515625,-99167.109375,-3763.127685546875,-92233.859375,-48347.86328125,-48526.625,-1.758625600008287,6
173.94,-49305.3671875,-89429.375,-99781.1875,-3599.095703125,-93604.921875,-48262.8125,-47415.375,-1.7546256000082963,6
