Time, Ch01, Ch02, Ch03, Ch04, Ch05, Ch06, Ch07,t_rel,idx
70.74,15577.53125,-27535.443359375,-34729.4609375,78953.0859375,-31761.71875,16725.400390625,17725.46875,-1.9982817000616393,1
70.744,15864.2783203125,-27479.412109375,-34679.08203125,78966.2734375,-31636.3125,16767.744140625,17479.802734375,-1.9942817000616344,1
70.748,15902.9033203125,-26397.802734375,-34074.8046875,78799.75,-30282.640625,16666.53125,16375.4013671875,-1.9902817000616295,1
70.752,15642.0732421875,-26249.744140625,-34013.8671875,78741.484375,-30153.302734375,16605.04296875,16394.85546875,-1.9862817000616388,1
70.756,15539.8623046875,-27358.69921875,-34640.08203125,78891.4609375,-31542.115234375,16691.162109375,17543.009765625,-1.982281700061634,1
70.76,15808.7734375,-27614.240234375,-34764.53125,78950.359375,-31802.587890625,16758.896484375,17607.046875,-1.978281700061629,1
70.764,15906.1923828125,-26599.650390625,-34193.7109375,78798.4765625,-30523.68359375,16670.37109375,16523.552734375,-1.9742817000616384,1
70.768,15668.9189453125,-26187.447265625,-33978.32421875,78712.0390625,-30063.896484375,16588.35546875,16270.734375,-1.9702817000616335,1
70.772,15515.1142578125,-27158.884765625,-34535.36328125,78834.8359375,-31287.3125,16655.015625,17318.443359375,-1.9662817000616286,1
70.776,15743.9970703125,-27716.421875,-34828.59375,78935.4609375,-31936.552734375,16738.869140625,17707.015625,-1.962281700061638,1
70.78,15902.615234375,-26811.556640625,-34312.73046875,78804.3359375,-30780.150390625,16677.5,16698.791015625,-1.958281700061633,1
70.784,15699.6982421875,-26163.416015625,-33965.76171875,78677.296875,-30020.431640625,16575.791015625,16182.4248046875,-1.9542817000616282,1
70.788,15506.482421875,-26945.85546875,-34420.8984375,78769.0,-31018.572265625,16619.5625,17077.208984375,-1.9502817000616375,1
70.792,15677.310546875,-27781.822265625,-34871.21875,78905.1640625,-32022.953125,16717.697265625,17773.69921875,-1.9462817000616326,1
70.796,15885.234375,-27032.806640625,-34439.1796875,78807.375,-31047.51171875,16684.056640625,16891.912109375,-1.9422817000616277,1
70.8,15740.2529296875,-26176.046875,-33970.57421875,78653.7734375,-30014.375,16569.568359375,16130.5205078125,-1.938281700061637,1
70.804,15510.9189453125,-26747.203125,-34314.96875,78709.8515625,-30759.384765625,16582.349609375,16834.572265625,-1.9342817000616321,1
70.808,15603.9013671875,-27806.787109375,-34899.95703125,78869.8984375,-32057.359375,16686.728515625,17795.015625,-1.9302817000616272,1
70.812,15857.435546875,-27247.8125,-34569.36328125,78803.6015625,-31311.443359375,16682.556640625,17073.943359375,-1.9262817000616366,1
70.816,15772.7734375,-26232.556640625,-34008.625,78635.0390625,-30073.62109375,16565.896484375,16119.7451171875,-1.9222817000616317,1
70.82,15519.90625,-26573.349609375,-34223.08203125,78653.5859375,-30537.703125,16554.931640625,16616.10546875,-1.918281700061641,1
70.824,15533.8310546875,-27757.48046875,-34878.5625,78824.6484375,-32001.6875,16660.30859375,17751.337890625,-1.9142817000616361,1
70.828,15814.115234375,-27437.666015625,-34679.98828125,78797.125,-31549.93359375,16679.291015625,17241.958984375,-1.9102817000616312,1
70.832,15795.302734375,-26348.54296875,-34075.3359375,78623.4765625,-30201.29296875,16566.015625,16168.4765625,-1.9062817000616405,1
70.836,15526.6298828125,-26445.10546875,-34153.01171875,78605.4765625,-30369.140625,16528.65625,16433.359375,-1.9022817000616357,1
70.84,15479.4716796875,-27632.046875,-34814.2421875,78772.234375,-31849.365234375,16627.384765625,17619.396484375,-1.8982817000616308,1
70.844,15766.5029296875,-27594.99609375,-34775.98046875,78786.7109375,-31746.630859375,16669.55859375,17391.515625,-1.89428170006164,1
70.848,15807.677734375,-26514.69921875,-34170.32421875,78622.625,-30395.822265625,16566.041015625,16281.5107421875,-1.8902817000616352,1
70.852,15542.6279296875,-26353.599609375,-34103.20703125,78565.171875,-30248.76171875,16502.333984375,16282.0830078125,-1.8862817000616303,1
70.856,15432.716796875,-27457.146484375,-34726.38671875,78711.609375,-31631.115234375,16584.77734375,17427.13671875,-1.8822817000616396,1
70.86,15705.873046875,-27731.515625,-34862.85546875,78769.609375,-31916.287109375,16649.53125,17511.775390625,-1.8782817000616348,1
70.864,15808.9423828125,-26724.318359375,-34292.39453125,78620.7109375,-30641.34375,16566.82421875,16433.693359375,-1.8742817000616299,1
70.868,15570.8564453125,-26299.90625,-34070.44921875,78528.9375,-30164.197265625,16483.046875,16164.9716796875,-1.8702817000616392,1
70.872,15411.1875,-27258.947265625,-34619.88671875,78649.859375,-31376.912109375,16547.943359375,17202.80859375,-1.8662817000616343,1
70.876,15638.1142578125,-27833.177734375,-34927.3671875,78751.0,-32046.677734375,16631.4375,17608.240234375,-1.8622817000616294,1
