Time, Ch01, Ch02, Ch03, Ch04, Ch05, Ch06, Ch07,t_rel,idx
189.408,-56542.54296875,-96289.875,-106672.6640625,-11812.1875,-99486.8359375,-55896.86328125,-56424.9296875,-1.9960139000862966,7
189.412,-56746.125,-96333.4609375,-106717.6015625,-11823.9892578125,-99607.6484375,-55901.69921875,-56143.7421875,-1.9920139000862775,7
189.416,-56722.16796875,-97567.6875,-107435.7890625,-11686.96875,-101059.3359375,-55801.54296875,-54957.5625,-1.9880139000862869,7
189.42,-56484.91796875,-97608.875,-107438.5234375,-11666.4658203125,-101026.484375,-55786.9921875,-55184.7734375,-1.9840139000862962,7
189.424,-56512.3125,-96480.8359375,-106773.8125,-11794.8544921875,-99692.546875,-55881.98046875,-56289.67578125,-1.980013900086277,7
189.428,-56732.34375,-96245.3125,-106657.0234375,-11840.1298828125,-99490.4375,-55915.3125,-56281.14453125,-1.9760139000862864,7
189.432,-56759.79296875,-97373.109375,-107321.046875,-11721.6123046875,-100825.0859375,-55827.5,-55146.3125,-1.9720139000862957,7
189.436,-56518.08203125,-97738.1640625,-107512.5,-11662.5546875,-101181.3515625,-55783.41796875,-55043.08203125,-1.9680139000862766,7
189.44,-56493.09375,-96697.9375,-106895.671875,-11779.833984375,-99928.7734375,-55872.23046875,-56125.76953125,-1.964013900086286,7
189.444,-56703.0,-96183.375,-106610.3515625,-11850.1923828125,-99400.6875,-55921.4375,-56390.21875,-1.9600139000862953,7
189.448,-56777.8359375,-97154.171875,-107191.4140625,-11753.703125,-100563.0390625,-55849.67578125,-55357.3125,-1.9560139000862762,7
189.452,-56552.89453125,-97832.875,-107567.859375,-11660.529296875,-101298.6875,-55784.92578125,-54929.35546875,-1.9520139000862855,7
189.456,-56482.89453125,-96922.9765625,-107021.9140625,-11756.6845703125,-100180.7265625,-55856.96875,-55934.6484375,-1.9480139000862948,7
