Fz,FC3,FC5,F3,FC4,FCz,Cz,Time,t_rel,idx
7.68603519895604,-31.08831923380833,-27.851764925882705,24.549072798918246,-20.418575816482644,44.51197158134424,2.6115803969550533,356.444,-1.9971379999946635,1
7.30040194959068,-30.30908761282977,-26.910595058379627,24.010900380039168,-20.43343233760193,43.28394239225134,3.057870286929959,356.448,-1.9931379999947012,1
7.099835100879228,-30.04407523663973,-26.455002549525805,23.789108056915833,-20.53367292788962,42.95275976957498,3.191047786685148,356.452,-1.989137999994682,1
6.492887384347252,-29.404788234879724,-25.115633099216176,23.18532644904028,-20.94431801701919,42.30721151755126,3.4793140001762066,356.456,-1.985137999994663,1
5.7260575399019515,-28.416047779986098,-23.37967930003176,22.347488749528317,-21.34371859408088,41.09467674522083,3.97122263944752,356.46,-1.9811379999947007,1
5.543873194570757,-27.90850783967198,-22.901342685140634,22.035485213157706,-21.258787864427802,40.20888388183388,4.280396099678105,356.464,-1.9771379999946816,1
6.211098093219684,-28.424993618141915,-24.32869370432927,22.622051725078993,-20.68448964267583,40.5101238139373,4.09490333291087,356.468,-1.9731379999946626,1
6.941786439846827,-29.298752974115718,-25.966299779940755,23.392071903489764,-20.2588114357098,41.51559389608387,3.674411950345757,356.472,-1.9691379999947003,1
6.496536738982665,-29.066222031128863,-25.040911852500212,23.047100229461165,-20.716005954431743,41.56039949010861,3.7191033795083706,356.476,-1.9651379999946812,1
4.35647583172656,-26.790310053926095,-20.313100331602783,20.90916110346978,-22.149520781012153,39.23638733808564,4.750906893258979,356.48,-1.961137999994662,1
1.3523232521723076,-23.050331260973213,-13.544563701487453,17.68214897293974,-23.80229946733791,34.778892684908406,6.5838295197780665,356.484,-1.9571379999946998,1
-0.8443854676013015,-19.6989010409977,-8.446173118035894,15.067001645811347,-24.604116217900817,30.167494276327346,8.359079922397013,356.488,-1.9531379999946807,1
-0.98334902189003,-18.5023788907041,-7.88565323636815,14.493696076832176,-24.005486151451663,27.717353587019353,9.165817636562382,356.492,-1.9491379999946616,1
0.7633260280590269,-19.73517117352333,-11.593368506870256,15.9798077623759,-22.423406511287304,28.2444497632922,8.764362637953683,356.496,-1.9451379999946994,1
2.897115858790776,-21.894641882673945,-16.28078962819543,18.066004705640765,-20.921690080317013,30.320989434807295,7.8130115919475855,356.5,-1.9411379999946803,1
3.7485310604142565,-22.894796634421887,-18.184622528520443,18.955805454844956,-20.413827297950135,31.45318933841129,7.33572060722196,356.504,-1.9371379999946612,1
2.6314057884172937,-21.576724973048037,-15.685241305047501,17.785917299812684,-21.07636647500974,29.954962151111175,7.966047513764065,356.508,-1.933137999994699,1
0.12977787093444948,-18.360796664854153,-10.024371643252206,15.056633586024569,-22.385687523123938,26.02044246764582,9.564001906625434,356.512,-1.9291379999946798,1
-2.5470224218406026,-14.649836212970218,-3.9018771352814663,12.024443803702274,-23.608712179040086,21.218817689984817,11.464186455445269,356.516,-1.9251379999946607,1
-4.427915526140471,-11.76442831150778,0.46735057554920206,9.778722242133709,-24.28482922760371,17.235738799334307,12.995361448234728,356.52,-1.9211379999946985,1
-5.305491343954449,-10.122785735945161,2.577325464499599,8.608551806985846,-24.4054602517367,14.729738253431174,13.918121806719693,356.524,-1.9171379999946794,1
-5.583678949369237,-9.316032674771382,3.315402815430038,8.118977471997189,-24.254825772046743,13.307537461318304,14.412619647441835,356.528,-1.9131379999946603,1
-5.781936881351866,-8.71239861407158,3.8483466633060286,7.758187415613409,-24.12855583017459,12.231090823190867,14.785266423487741,356.532,-1.909137999994698,1
-6.103164210120119,-8.055362773133455,4.634249503590734,7.306604923939931,-24.135689951905594,11.190737546956598,15.162624960671872,356.536,-1.905137999994679,1
-6.466520456934353,-7.404658977719776,5.50086185460975,6.8341200547380465,-24.20477129217984,10.216742235485471,15.524226582000637,356.54,-1.9011379999946598,1
-6.738473279857846,-6.840558664921027,6.168109222090797,6.448555604108056,-24.20563335916828,9.318762889588763,15.849237588159555,356.544,-1.8971379999946976,1
-6.949473981402808,-6.219254028004364,6.730200034903566,6.073329000864253,-24.085182436246125,8.219447971412873,16.2309334384726,356.548,-1.8931379999946785,1
-7.28648258837055,-5.263472003973481,7.619128713198174,5.489166794658511,-23.916913500270606,6.543786118697575,16.814786466060372,356.552,-1.8891379999946594,1
-7.978750951611292,-3.733890091969834,9.340273720195096,4.468901376336714,-23.857346728983757,4.052646711112371,17.7081659649207,356.556,-1.8851379999946971,1
