Time,marker,LSL_timestamp
2.968386400025338,collecting_baseline,555899.3822004
3.059831300051883,collecting_baseline,555899.4736453
3.110176300047897,collecting_baseline,555899.5239903
3.1385647000279278,collecting_baseline,555899.5523787
3.1858998000388965,collecting_baseline,555899.5997138
3.207753600087017,collecting_baseline,555899.6215676
3.268964600050822,collecting_baseline,555899.6827786
3.307234500069171,collecting_baseline,555899.7210485
3.3525354000739753,collecting_baseline,555899.7663494
3.3755548000335693,collecting_baseline,555899.7893688
3.418943400029093,collecting_baseline,555899.8327574
3.452577000018209,collecting_baseline,555899.866391
3.5095287000294775,collecting_baseline,555899.9233427
3.547057899995707,collecting_baseline,555899.9608719
3.585134100052528,collecting_baseline,555899.9989481
3.6300726999761537,collecting_baseline,555900.0438867
3.6761362000834197,collecting_baseline,555900.0899502
3.6994809000752866,collecting_baseline,555900.1132949
3.7511397000635043,collecting_baseline,555900.1649537
3.7810716000385582,collecting_baseline,555900.1948856
3.827299900003709,collecting_baseline,555900.2411139
3.8575114000122994,collecting_baseline,555900.2713254
3.898862799978815,collecting_baseline,555900.3126768
3.9341225000098348,collecting_baseline,555900.3479365
3.9891531000612304,collecting_baseline,555900.4029671
4.024854900082573,collecting_baseline,555900.4386689
4.066109900013544,collecting_baseline,555900.4799239
4.10021439997945,collecting_baseline,555900.5140284
4.141678499989212,collecting_baseline,555900.5554925
4.171089200070128,collecting_baseline,555900.5849032
4.227292100084014,collecting_baseline,555900.6411061
4.260650500073098,collecting_baseline,555900.6744645
4.301387200015597,collecting_baseline,555900.7152012
4.340052900020964,collecting_baseline,555900.7538669
4.376523100072518,collecting_baseline,555900.7903371
4.404430199996568,collecting_baseline,555900.8182442
4.463859600014985,collecting_baseline,555900.8776736
4.501851300010458,collecting_baseline,555900.9156653
4.543399000074714,collecting_baseline,555900.957213
4.579734700033441,collecting_baseline,555900.9935487
4.624878100003116,collecting_baseline,555901.0386921
4.653078000061214,collecting_baseline,555901.066892
4.706931499997154,collecting_baseline,555901.1207455
4.740211000083946,collecting_baseline,555901.154025
4.786253200029023,collecting_baseline,555901.2000672
4.8340938000474125,collecting_baseline,555901.2479078
4.861471600015648,collecting_baseline,555901.2752856
4.8999173999764025,collecting_baseline,555901.3137314
4.945246800081804,collecting_baseline,555901.3590608
4.976099400082603,collecting_baseline,555901.3899134
5.019796699983999,collecting_baseline,555901.4336107
5.049411499989219,collecting_baseline,555901.4632255
5.098716799984686,collecting_baseline,555901.5125308
5.13015640003141,collecting_baseline,555901.5439704
5.184232100029476,collecting_baseline,555901.5980461
5.224038299988024,collecting_baseline,555901.6378523
5.265735800028779,collecting_baseline,555901.6795498
5.300171100068837,collecting_baseline,555901.7139851
5.336886000004597,collecting_baseline,555901.7507
5.37997330003418,collecting_baseline,555901.7937873
5.424600400030613,collecting_baseline,555901.8384144
5.46761749999132,collecting_baseline,555901.8814315
5.515401500044391,collecting_baseline,555901.9292155
5.554267700063065,collecting_baseline,555901.9680817
5.585043800063431,collecting_baseline,555901.9988578
5.628550300025381,collecting_baseline,555902.0423643
5.668672100058757,collecting_baseline,555902.0824861
5.699269099975936,collecting_baseline,555902.1130831
5.745379899977706,collecting_baseline,555902.1591939
5.784114200039767,collecting_baseline,555902.1979282
5.8225660000462085,collecting_baseline,555902.23638
5.855379900080152,collecting_baseline,555902.2691939
5.911331600043923,collecting_baseline,555902.3251456
5.936544300056994,collecting_baseline,555902.3503583
5.988216100027785,collecting_baseline,555902.4020301
6.0355389000615105,collecting_baseline,555902.4493529
6.067495500086807,collecting_baseline,555902.4813095
6.098982200026512,collecting_baseline,555902.5127962
6.150191400083713,collecting_baseline,555902.5640054
6.1906443000771105,collecting_baseline,555902.6044583
6.22511040000245,collecting_baseline,555902.6389244
6.258388600079343,collecting_baseline,555902.6722026
6.305358899990097,collecting_baseline,555902.7191729
6.359142699977383,collecting_baseline,555902.7729567
6.393346900003962,collecting_baseline,555902.8071609
6.436019200016744,collecting_baseline,555902.8498332
6.4713158999802545,collecting_baseline,555902.8851299
6.49874519999139,collecting_baseline,555902.9125592
6.547487600008026,collecting_baseline,555902.9613016
6.573607600061223,collecting_baseline,555902.9874216
6.630428300006315,collecting_baseline,555903.0442423
6.670426100026816,collecting_baseline,555903.0842401
6.713535899994895,collecting_baseline,555903.1273499
6.740079100010917,collecting_baseline,555903.1538931
6.77960340003483,collecting_baseline,555903.1934174
6.831784000038169,collecting_baseline,555903.245598
6.873531899997033,collecting_baseline,555903.2873459
6.91255030001048,collecting_baseline,555903.3263643
6.953224300057627,collecting_baseline,555903.3670383
6.98609070002567,collecting_baseline,555903.3999047
7.023158100084402,collecting_baseline,555903.4369721
7.056321099982597,collecting_baseline,555903.4701351
7.108866500086151,collecting_baseline,555903.5226805
7.154882600065321,collecting_baseline,555903.5686966
7.1886250000679865,collecting_baseline,555903.602439
7.226887500029989,collecting_baseline,555903.6407015
7.268300299998373,collecting_baseline,555903.6821143
7.30042520002462,collecting_baseline,555903.7142392
7.3513191000092775,collecting_baseline,555903.7651331
7.394054500036873,collecting_baseline,555903.8078685
