location,corrAns,thisN,thisTrialN,thisRepN,response_2.keys,response_2.corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,piloting,Instructions_2.started,instructions_2.started,key_resp_2.started,Instructions_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,Fixation.started,fixation_1.started,fixation_1.stopped,Fixation.stopped,N_back_2_trials.started,grid_lines_2.started,target_square_2.started,response_2.started,fixation_3.started,target_square_2.stopped,fixation_3.stopped,N_back_2_trials.stopped,trials.response_2.keys,trials.response_2.corr,LIFU_marker,LSL_Time,grid_lines_2.stopped,response_2.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
"[0.2, -0.2]",None,12,12,0,None,1,0,12,12,12,50.14676170004532,,,,,,,,,,,,,,50.14019990013912,50.15528109995648,50.15528109995648,50.15528109995648,51.1546173999086,51.14619049988687,52.14669549977407,52.13856549980119,None,1,None,2298754.5767636,52.14669549977407,52.14669549977407,debug,001,2026-07-09_14h56.02.733,untitled,,2026.1.3,119.8802153349762,2026-07-09 14h56.03.060015 -0700,
"[-0.2, -0.2]",None,13,13,0,None,1,0,13,13,13,52.14669549977407,,,,,,,,,,,,,,52.139282499905676,52.15384860010818,52.15384860010818,52.15384860010818,53.310713400132954,53.310713400132954,,54.16577349975705,None,1,None,2298756.5758325,54.14803409995511,54.14803409995511,debug,001,2026-07-09_14h56.02.733,untitled,,2026.1.3,119.8802153349762,2026-07-09 14h56.03.060015 -0700,
"[0.2, -0.2]",space,14,14,0,None,0,0,14,14,14,54.17358070006594,,,,,,,,,,,,,,54.1666300999932,54.17358070006594,54.17358070006594,54.17358070006594,55.15787999983877,55.165917499922216,56.150620999746025,56.15939259994775,None,0,None,2298758.6031824,56.16889559989795,56.16889559989795,debug,001,2026-07-09_14h56.02.733,untitled,,2026.1.3,119.8802153349762,2026-07-09 14h56.03.060015 -0700,
"[0, 0.2]",None,15,15,0,None,1,0,15,15,15,56.16889559989795,,,,,,,,,,,,,,56.16017539985478,56.16889559989795,56.16889559989795,56.16889559989795,57.15920449979603,57.16726960008964,58.15321430005133,58.153680900111794,None,1,None,2298760.5967436,58.159285499714315,58.159285499714315,debug,001,2026-07-09_14h56.02.733,untitled,,2026.1.3,119.8802153349762,2026-07-09 14h56.03.060015 -0700,
"[0.2, 0.2]",None,16,16,0,None,1,0,16,16,16,58.159285499714315,,,,,,,,,,,,,,58.15411329967901,58.159285499714315,58.159285499714315,58.159285499714315,59.15259480010718,59.15259480010718,60.14456250006333,60.14532559970394,None,1,None,2298762.5907131,60.15323719987646,60.15323719987646,debug,001,2026-07-09_14h56.02.733,untitled,,2026.1.3,119.8802153349762,2026-07-09 14h56.03.060015 -0700,
"[0, 0]",None,17,17,0,None,1,0,17,17,17,60.15323719987646,,,,,,,,,,,,,,60.145922099705786,60.15323719987646,60.15323719987646,60.15323719987646,61.15358859999105,61.14531649975106,62.14675460010767,62.13862209999934,None,1,1.0,2298764.5825193,62.14675460010767,62.14675460010767,debug,001,2026-07-09_14h56.02.733,untitled,,2026.1.3,119.8802153349762,2026-07-09 14h56.03.060015 -0700,
"[0, -0.2]",None,18,18,0,None,1,0,18,18,18,62.14675460010767,,,,,,,,,,,,,,62.13930970011279,62.15429779980332,62.15429779980332,62.15429779980332,63.15464159986004,63.14718300011009,64.14734849985689,64.13906189985573,None,1,None,2298766.5758561,64.14734849985689,64.14734849985689,debug,001,2026-07-09_14h56.02.733,untitled,,2026.1.3,119.8802153349762,2026-07-09 14h56.03.060015 -0700,
"[0.2, 0]",None,19,19,0,None,1,0,19,19,19,64.14734849985689,,,,,,,,,,,,,,64.1395662999712,64.15523449983448,64.15523449983448,64.15523449983448,65.15735440002754,65.14893219992518,66.14962869975716,66.14174979971722,None,1,0.0,2298768.5761469,66.14962869975716,66.14962869975716,debug,001,2026-07-09_14h56.02.733,untitled,,2026.1.3,119.8802153349762,2026-07-09 14h56.03.060015 -0700,
"[0, -0.2]",space,20,20,0,None,0,0,20,20,20,66.14962869975716,,,,,,,,,,,,,,66.14237659983337,66.1579805999063,66.1579805999063,66.1579805999063,67.15993969980627,67.15084500005469,68.1513112001121,68.14380909968168,None,0,None,2298770.5789421,68.1513112001121,68.1513112001121,debug,001,2026-07-09_14h56.02.733,untitled,,2026.1.3,119.8802153349762,2026-07-09 14h56.03.060015 -0700,
"[-0.2, 0.2]",None,21,21,0,None,1,0,21,21,21,68.1513112001121,,,,,,,,,,,,,,68.14445859985426,68.1513112001121,68.1513112001121,68.1513112001121,69.15226719994098,69.14403379987925,70.14396409969777,70.13575949985534,None,1,None,2298772.5809839,70.14396409969777,70.14396409969777,debug,001,2026-07-09_14h56.02.733,untitled,,2026.1.3,119.8802153349762,2026-07-09 14h56.03.060015 -0700,
"[0.2, -0.2]",None,22,22,0,None,1,0,22,22,22,70.14396409969777,,,,,,,,,,,,,,70.13648949982598,70.15268429974094,70.15268429974094,70.15268429974094,71.15287539968267,71.14521399978548,72.14567529968917,72.13800049992278,None,1,None,2298774.573038,72.14567529968917,72.14567529968917,debug,001,2026-07-09_14h56.02.733,untitled,,2026.1.3,119.8802153349762,2026-07-09 14h56.03.060015 -0700,
"[-0.2, 0.2]",space,23,23,0,None,0,0,23,23,23,72.14567529968917,,,,,,,,,,,,,,72.13870189990848,72.15456839976832,72.15456839976832,72.15456839976832,73.15617370000109,73.14724629977718,74.14825529977679,74.14092310005799,None,0,None,2298776.5752526,74.14825529977679,74.14825529977679,debug,001,2026-07-09_14h56.02.733,untitled,,2026.1.3,119.8802153349762,2026-07-09 14h56.03.060015 -0700,
"[0, 0]",None,24,24,0,None,1,0,24,24,24,74.14825529977679,,,,,,,,,,,,,,74.14148969994858,74.15606939978898,74.15606939978898,74.15606939978898,75.1600735001266,75.14887139992788,76.15936269983649,76.15022799978033,None,1,1.0,2298778.578067,76.14959589997306,76.14959589997306,debug,001,2026-07-09_14h56.02.733,untitled,,2026.1.3,119.8802153349762,2026-07-09 14h56.03.060015 -0700,
"[0.2, 0.2]",None,25,25,0,None,1,0,25,25,25,76.15936269983649,,,,,,,,,,,,,,76.15123709989712,76.15936269983649,76.15936269983649,76.15936269983649,77.15845079999417,77.15041929995641,78.15058459993452,78.14380559977144,None,1,None,2298780.5877765,78.15058459993452,78.15058459993452,debug,001,2026-07-09_14h56.02.733,untitled,,2026.1.3,119.8802153349762,2026-07-09 14h56.03.060015 -0700,
"[-0.2, -0.2]",None,26,26,0,None,1,0,26,26,26,78.15058459993452,,,,,,,,,,,,,,78.14485959988087,78.15935469977558,78.15935469977558,78.15935469977558,79.15208919998258,79.15208919998258,80.14444130007178,80.14525379985571,None,1,None,2298782.5812494,80.15431529982015,80.15431529982015,debug,001,2026-07-09_14h56.02.733,untitled,,2026.1.3,119.8802153349762,2026-07-09 14h56.03.060015 -0700,
"[0.2, 0]",None,27,27,0,None,1,0,27,27,27,80.15431529982015,,,,,,,,,,,,,,80.1461434001103,80.15431529982015,80.15431529982015,80.15431529982015,81.1856605000794,81.17494220007211,,82.1627909000963,None,1,0.0,2298784.5826789,82.14634979981929,82.14634979981929,debug,001,2026-07-09_14h56.02.733,untitled,,2026.1.3,119.8802153349762,2026-07-09 14h56.03.060015 -0700,
"[0, 0.2]",None,28,28,0,None,1,0,28,28,28,82.17053089989349,,,,,,,,,,,,,,82.16365520004183,82.17053089989349,82.17053089989349,82.17053089989349,83.1547797000967,83.16231019981205,84.1471021999605,84.15642330003902,None,1,None,2298786.6001721,84.16378560010344,84.16378560010344,debug,001,2026-07-09_14h56.02.733,untitled,,2026.1.3,119.8802153349762,2026-07-09 14h56.03.060015 -0700,
"[0.2, 0]",space,29,29,0,None,0,0,29,29,29,84.16378560010344,,,,,,,,,,,,,,84.15705369971693,84.16378560010344,84.16378560010344,84.16378560010344,85.15621999977157,85.15621999977157,86.14933879999444,86.1502859997563,None,0,None,2298788.5936162,86.15844139968976,86.15844139968976,debug,001,2026-07-09_14h56.02.733,untitled,,2026.1.3,119.8802153349762,2026-07-09 14h56.03.060015 -0700,
"[-0.2, -0.2]",None,30,30,0,None,1,0,30,30,30,86.15844139968976,,,,,,,,,,,,,,86.15115220006555,86.15844139968976,86.15844139968976,86.15844139968976,87.1582029000856,87.1509643997997,88.15083270007744,88.14248219970614,None,1,None,2298790.5876776,88.15083270007744,88.15083270007744,debug,001,2026-07-09_14h56.02.733,untitled,,2026.1.3,119.8802153349762,2026-07-09 14h56.03.060015 -0700,
"[0, -0.2]",None,31,31,0,None,1,0,31,31,31,88.15083270007744,,,,,,,,,,,,,,88.14313230011612,88.15787420002744,88.15787420002744,88.15787420002744,89.15926569979638,89.15132950013503,90.15235679969192,90.14406340010464,None,1,None,2298792.5796969,90.15235679969192,90.15235679969192,debug,001,2026-07-09_14h56.02.733,untitled,,2026.1.3,119.8802153349762,2026-07-09 14h56.03.060015 -0700,
"[0, 0.2]",None,32,32,0,,,0,32,32,32,90.15235679969192,,,,,,,,,,,,,,90.14463939983398,90.15235679969192,90.15235679969192,90.15235679969192,,,,,,,,,,,,,,,,,,,
