location,corrAns,thisN,thisTrialN,thisRepN,response_2.keys,response_2.corr,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,piloting,Instructions_2.started,instructions_2.started,key_resp_2.started,Instructions_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,Fixation.started,fixation_1.started,fixation_1.stopped,Fixation.stopped,N_back_2_trials.started,grid_lines_2.started,target_square_2.started,response_2.started,fixation_3.started,target_square_2.stopped,fixation_3.stopped,N_back_2_trials.stopped,trials_2.response_2.keys,trials_2.response_2.corr,LIFU_marker,LSL_Time,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,False,0.006760800024494529,0.015032100025564432,0.015032100025564432,1.9290917000034824,space,1.903563799976837,None,,,,,,,,,,,,,,,,,hihihi,001,2026-06-18_16h22.58.988,untitled,,2026.1.3,123.91251279820263,2026-06-18 16h22.59.292157 -0700,
,,,,,,,,,,,,,,,,,,,,,1.9292879000422545,1.9374417000217363,2.946901599992998,2.9240382999996655,,,,,,,,,,,,,hihihi,001,2026-06-18_16h22.58.988,untitled,,2026.1.3,123.91251279820263,2026-06-18 16h22.59.292157 -0700,
"[0, 0]",None,0,0,0,None,1,0,0,0,0,2.946901599992998,,,,,,,,,,,,,,2.9390318000223488,2.946901599992998,2.946901599992998,2.946901599992998,3.9243927000206895,3.940694299992174,4.915263600007165,4.93207760003861,None,1,None,None,hihihi,001,2026-06-18_16h22.58.988,untitled,,2026.1.3,123.91251279820263,2026-06-18 16h22.59.292157 -0700,
"[0.2, 0]",None,1,1,0,,,0,1,1,1,4.939935000031255,,,,,,,,,,,,,,4.932773999986239,4.939935000031255,4.939935000031255,4.939935000031255,5.92302980000386,5.932801700022537,,,,,,,,,,,,,,,
