location,corrAns,thisN,thisTrialN,thisRepN,response_2.keys,response_2.corr,response_2.rt,response_2.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,piloting,Instructions_2.started,instructions_2.started,key_resp_2.started,Instructions_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,Fixation.started,fixation_1.started,fixation_1.stopped,Fixation.stopped,N_back_2_trials.started,grid_lines_2.started,target_square_2.started,response_2.started,fixation_3.started,target_square_2.stopped,fixation_3.stopped,N_back_2_trials.stopped,trials.response_2.keys,trials.response_2.corr,LIFU_marker,LSL_Time,grid_lines_2.stopped,response_2.stopped,trials.response_2.rt,trials.response_2.duration,End.started,thank_you.started,thank_you.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
"[0.2, 0]",None,27,27,0,None,1,,,0,27,27,27,168.68887439975515,,,,,,,,,,,,,,168.68099119979888,168.69682759977877,168.69682759977877,168.69682759977877,169.6985964998603,169.68937900010496,170.69023249996826,170.68259890004992,None,1,None,2125963.4090402,170.69023249996826,170.69023249996826,,,,,,sham_scott,001,2026-07-07_14h54.17.177,untitled,,2026.1.3,119.62838678062113,2026-07-07 14h54.17.428320 -0700,
"[0, 0.2]",None,28,28,0,None,1,,,0,28,28,28,170.69023249996826,,,,,,,,,,,,,,170.6828808998689,170.69862739974633,170.69862739974633,170.69862739974633,171.69945539999753,171.69082299992442,172.69201309978962,172.68382730009034,None,1,None,2125965.4109292,172.69201309978962,172.69201309978962,,,,,,sham_scott,001,2026-07-07_14h54.17.177,untitled,,2026.1.3,119.62838678062113,2026-07-07 14h54.17.428320 -0700,
"[0.2, 0]",space,29,29,0,None,0,,,0,29,29,29,172.69201309978962,,,,,,,,,,,,,,172.6841087997891,172.70087369997054,172.70087369997054,172.70087369997054,173.7012033998035,173.69259999971837,174.69416899979115,174.6854686997831,None,0,None,2125967.412157,174.69416899979115,174.69416899979115,,,,,,sham_scott,001,2026-07-07_14h54.17.177,untitled,,2026.1.3,119.62838678062113,2026-07-07 14h54.17.428320 -0700,
"[-0.2, -0.2]",None,30,30,0,None,1,,,0,30,30,30,174.69416899979115,,,,,,,,,,,,,,174.68592109996825,174.7016348997131,174.7016348997131,174.7016348997131,175.6948416000232,175.6948416000232,176.68705589976162,176.68736199988052,None,1,None,2125969.413934,176.69501919997856,176.69501919997856,,,,,,sham_scott,001,2026-07-07_14h54.17.177,untitled,,2026.1.3,119.62838678062113,2026-07-07 14h54.17.428320 -0700,
"[0, -0.2]",None,31,31,0,None,1,,,0,31,31,31,176.69501919997856,,,,,,,,,,,,,,176.68765150010586,176.69501919997856,176.69501919997856,176.69501919997856,177.69634359981865,177.68721120012924,178.68899070005864,178.68041869997978,None,1,None,2125971.4156947,178.68899070005864,178.68899070005864,,,,,,sham_scott,001,2026-07-07_14h54.17.177,untitled,,2026.1.3,119.62838678062113,2026-07-07 14h54.17.428320 -0700,
"[0, 0.2]",None,32,32,0,None,1,,,0,32,32,32,178.68899070005864,,,,,,,,,,,,,,178.6807256997563,178.69739180011675,178.69739180011675,178.69739180011675,179.69761710008606,179.688956100028,180.69023549975827,180.6820823000744,None,1,None,2125973.4087666,180.69023549975827,180.69023549975827,,,,,,sham_scott,001,2026-07-07_14h54.17.177,untitled,,2026.1.3,119.62838678062113,2026-07-07 14h54.17.428320 -0700,
"[0.2, 0.2]",None,33,33,0,None,1,,,0,33,33,33,180.69023549975827,,,,,,,,,,,,,,180.68239129986614,180.69856859976426,180.69856859976426,180.69856859976426,181.69965890003368,181.6906690998003,182.6914667999372,182.6838647001423,None,1,None,2125975.4104377,182.6914667999372,182.6914667999372,,,,,,sham_scott,001,2026-07-07_14h54.17.177,untitled,,2026.1.3,119.62838678062113,2026-07-07 14h54.17.428320 -0700,
"[0, 0]",None,34,34,0,space,0,0.44694519974291325,0.16706560039892793,0,34,34,34,182.6914667999372,,,,,,,,,,,,,,182.68425410008058,182.70044060004875,182.70044060004875,182.70044060004875,183.70121320011094,183.69299650005996,184.69348010001704,184.6850109999068,space,0,None,2125977.4122744,184.69348010001704,184.69348010001704,0.44694519974291325,0.16706560039892793,,,,sham_scott,001,2026-07-07_14h54.17.177,untitled,,2026.1.3,119.62838678062113,2026-07-07 14h54.17.428320 -0700,
"[0.2, -0.2]",None,35,35,0,None,1,,,0,35,35,35,184.69348010001704,,,,,,,,,,,,,,184.68530229991302,184.70218699984252,184.70218699984252,184.70218699984252,185.69425279973075,185.69425279973075,186.68626869982108,186.68657869985327,None,1,None,2125979.4133457,186.69502490013838,186.69502490013838,,,,,,sham_scott,001,2026-07-07_14h54.17.177,untitled,,2026.1.3,119.62838678062113,2026-07-07 14h54.17.428320 -0700,
"[0.2, -0.2]",None,36,36,0,space,0,1.1476172003895044,0.1551045998930931,0,36,36,36,186.69502490013838,,,,,,,,,,,,,,186.6872028997168,186.69502490013838,186.69502490013838,186.69502490013838,187.69543829979375,187.68747569993138,188.68838199973106,188.67982199974358,space,0,None,2125981.4152278,188.68838199973106,188.68838199973106,1.1476172003895044,0.1551045998930931,,,,sham_scott,001,2026-07-07_14h54.17.177,untitled,,2026.1.3,119.62838678062113,2026-07-07 14h54.17.428320 -0700,
"[0, 0.2]",None,37,37,0,None,1,,,0,37,37,37,188.68838199973106,,,,,,,,,,,,,,188.6801923001185,188.69704560004175,188.69704560004175,188.69704560004175,189.69777539977804,189.68901930004358,190.69033779995516,190.6818347000517,None,1,None,2125983.4082182,190.69033779995516,190.69033779995516,,,,,,sham_scott,001,2026-07-07_14h54.17.177,untitled,,2026.1.3,119.62838678062113,2026-07-07 14h54.17.428320 -0700,
"[0.2, -0.2]",space,38,38,0,space,1,0.5563314999453723,0.16513699991628528,0,38,38,38,190.69033779995516,,,,,,,,,,,,,,190.68215409992263,190.69875370012596,190.69875370012596,190.69875370012596,191.69935380015522,191.69127359986305,192.69159819977358,192.68376349983737,space,1,None,2125985.4101994,192.69159819977358,192.69159819977358,0.5563314999453723,0.16513699991628528,,,,sham_scott,001,2026-07-07_14h54.17.177,untitled,,2026.1.3,119.62838678062113,2026-07-07 14h54.17.428320 -0700,
"[-0.2, 0.2]",None,39,39,0,None,1,,,0,39,39,39,192.69159819977358,,,,,,,,,,,,,,192.68413299974054,192.70030179992318,192.70030179992318,192.70030179992318,193.70029739988968,193.6922073001042,194.69388030003756,194.68552229972556,None,1,None,2125987.4121614,194.69388030003756,194.69388030003756,,,,,,sham_scott,001,2026-07-07_14h54.17.177,untitled,,2026.1.3,119.62838678062113,2026-07-07 14h54.17.428320 -0700,
"[0, -0.2]",None,40,40,0,None,1,,,0,40,40,40,194.69388030003756,,,,,,,,,,,,,,194.6859369999729,194.70177659997717,194.70177659997717,194.70177659997717,195.70221540005878,195.69385279994458,196.69498739996925,196.68712619971484,None,1,None,2125989.4139618,196.69498739996925,196.69498739996925,,,,,,sham_scott,001,2026-07-07_14h54.17.177,untitled,,2026.1.3,119.62838678062113,2026-07-07 14h54.17.428320 -0700,
"[-0.2, 0.2]",space,41,41,0,space,1,0.6956465002149343,0.08627389976754785,0,41,41,41,196.69498739996925,,,,,,,,,,,,,,196.6875037001446,196.69498739996925,196.69498739996925,196.69498739996925,197.69694270007312,197.68795999977738,198.68806859990582,198.68029069993645,space,1,None,2125991.4155357,198.68806859990582,198.68806859990582,0.6956465002149343,0.08627389976754785,,,,sham_scott,001,2026-07-07_14h54.17.177,untitled,,2026.1.3,119.62838678062113,2026-07-07 14h54.17.428320 -0700,
"[0.2, 0]",None,42,42,0,None,1,,,0,42,42,42,198.68806859990582,,,,,,,,,,,,,,198.68065419979393,198.697830399964,198.697830399964,198.697830399964,199.6972127999179,199.68870309973136,200.68969439994544,200.68230429990217,None,1,None,2125993.4086891,200.68969439994544,200.68969439994544,,,,,,sham_scott,001,2026-07-07_14h54.17.177,untitled,,2026.1.3,119.62838678062113,2026-07-07 14h54.17.428320 -0700,
"[0, 0]",None,43,43,0,None,1,,,0,43,43,43,200.68969439994544,,,,,,,,,,,,,,200.68260269984603,200.69841339997947,200.69841339997947,200.69841339997947,201.69931379985064,201.69033619994298,202.69126340001822,202.6828696001321,None,1,None,2125995.4106471,202.69126340001822,202.69126340001822,,,,,,sham_scott,001,2026-07-07_14h54.17.177,untitled,,2026.1.3,119.62838678062113,2026-07-07 14h54.17.428320 -0700,
"[0.2, 0]",space,44,44,0,space,1,0.7537547000683844,0.06406839983537793,0,44,44,44,202.69126340001822,,,,,,,,,,,,,,202.68325209990144,202.6996625000611,202.6996625000611,202.6996625000611,203.70035749999806,203.6924356999807,204.69293679995462,204.6848932998255,space,1,None,2125997.4112832,204.69293679995462,204.69293679995462,0.7537547000683844,0.06406839983537793,,,,sham_scott,001,2026-07-07_14h54.17.177,untitled,,2026.1.3,119.62838678062113,2026-07-07 14h54.17.428320 -0700,
"[0, 0.2]",None,45,45,0,None,1,,,0,45,45,45,204.69293679995462,,,,,,,,,,,,,,204.6852103001438,204.70101290009916,204.70101290009916,204.70101290009916,205.70231369975954,205.6939928997308,206.69445890001953,206.68630649987608,None,1,None,2125999.4132497,206.69445890001953,206.69445890001953,,,,,,sham_scott,001,2026-07-07_14h54.17.177,untitled,,2026.1.3,119.62838678062113,2026-07-07 14h54.17.428320 -0700,
"[0.2, 0.2]",None,46,46,0,None,1,,,0,46,46,46,206.69445890001953,,,,,,,,,,,,,,206.6865916000679,206.69445890001953,206.69445890001953,206.69445890001953,207.69535350007936,207.68739120010287,208.688188099768,208.680218399968,None,1,None,2126001.4146393,208.688188099768,208.688188099768,,,,,,sham_scott,001,2026-07-07_14h54.17.177,untitled,,2026.1.3,119.62838678062113,2026-07-07 14h54.17.428320 -0700,
"[0, 0]",None,47,47,0,space,0,0.5022612996399403,0.1685796999372542,0,47,47,47,208.688188099768,,,,,,,,,,,,,,208.6805861000903,208.69606090011075,208.69606090011075,208.69606090011075,209.69686370017007,209.6882458999753,210.68960579996929,210.6812950000167,space,0,None,2126003.408621,210.68960579996929,210.68960579996929,0.5022612996399403,0.1685796999372542,,,,sham_scott,001,2026-07-07_14h54.17.177,untitled,,2026.1.3,119.62838678062113,2026-07-07 14h54.17.428320 -0700,
"[0, -0.2]",None,48,48,0,None,1,,,0,48,48,48,210.68960579996929,,,,,,,,,,,,,,210.6816211999394,210.69751639990136,210.69751639990136,210.69751639990136,211.69845210015774,211.69069899991155,212.69110989989713,212.6828422001563,None,1,None,2126005.4096644,212.69110989989713,212.69110989989713,,,,,,sham_scott,001,2026-07-07_14h54.17.177,untitled,,2026.1.3,119.62838678062113,2026-07-07 14h54.17.428320 -0700,
"[-0.2, -0.2]",None,49,49,0,None,1,,,0,49,49,49,212.69110989989713,,,,,,,,,,,,,,212.68317240010947,212.69926750008017,212.69926750008017,212.69926750008017,213.70019729994237,213.69198619993404,214.69249319983646,214.68489430006593,None,1,None,2126007.4112125,214.69249319983646,214.69249319983646,,,,,,sham_scott,001,2026-07-07_14h54.17.177,untitled,,2026.1.3,119.62838678062113,2026-07-07 14h54.17.428320 -0700,
"[0, -0.2]",space,50,50,0,space,1,0.5377488997764885,0.19775560032576323,0,50,50,50,214.69249319983646,,,,,,,,,,,,,,214.68547869985923,214.70091169979423,214.70091169979423,214.70091169979423,215.70211349986494,215.69403410004452,216.6940854000859,216.68559620017186,space,1,None,2126009.4135065,216.6940854000859,216.6940854000859,0.5377488997764885,0.19775560032576323,,,,sham_scott,001,2026-07-07_14h54.17.177,untitled,,2026.1.3,119.62838678062113,2026-07-07 14h54.17.428320 -0700,
"[0, 0.2]",None,51,51,0,None,1,,,0,51,51,51,216.6940854000859,,,,,,,,,,,,,,216.68589679989964,216.7026259000413,216.7026259000413,216.7026259000413,217.69534179987386,217.69534179987386,218.68739280011505,218.6877513998188,None,1,None,2126011.413939,218.6957959998399,218.6957959998399,,,,,,sham_scott,001,2026-07-07_14h54.17.177,untitled,,2026.1.3,119.62838678062113,2026-07-07 14h54.17.428320 -0700,
"[0, 0.2]",None,52,52,0,None,1,,,0,52,52,52,218.6957959998399,,,,,,,,,,,,,,218.68817800004035,218.6957959998399,218.6957959998399,218.6957959998399,219.69635319989175,219.68805840006098,220.68881870014593,220.68136369995773,None,1,None,2126013.416191,220.68881870014593,220.68881870014593,,,,,,sham_scott,001,2026-07-07_14h54.17.177,untitled,,2026.1.3,119.62838678062113,2026-07-07 14h54.17.428320 -0700,
"[-0.2, -0.2]",None,53,53,0,None,1,,,0,53,53,53,220.68881870014593,,,,,,,,,,,,,,220.68164169974625,220.6970207998529,220.6970207998529,220.6970207998529,221.6977244997397,221.69032539986074,222.69021059991792,222.683044699952,None,1,None,2126015.4096884,222.69021059991792,222.69021059991792,,,,,,sham_scott,001,2026-07-07_14h54.17.177,untitled,,2026.1.3,119.62838678062113,2026-07-07 14h54.17.428320 -0700,
"[0, 0]",None,54,54,0,None,1,,,0,54,54,54,222.69021059991792,,,,,,,,,,,,,,222.68333439994603,222.69957759976387,222.69957759976387,222.69957759976387,223.69947899971157,223.69196539977565,224.69283360010013,224.68431779975072,None,1,None,2126017.4113818,224.69283360010013,224.69283360010013,,,,,,sham_scott,001,2026-07-07_14h54.17.177,untitled,,2026.1.3,119.62838678062113,2026-07-07 14h54.17.428320 -0700,
"[-0.2, -0.2]",space,55,55,0,space,1,0.35901639983057976,0.22600159980356693,0,55,55,55,224.69283360010013,,,,,,,,,,,,,,224.68461740016937,224.70050649996847,224.70050649996847,224.70050649996847,225.70166909974068,225.69327239971608,226.69400280015543,226.68568659992889,space,1,None,2126019.412663,226.69400280015543,226.69400280015543,0.35901639983057976,0.22600159980356693,,,,sham_scott,001,2026-07-07_14h54.17.177,untitled,,2026.1.3,119.62838678062113,2026-07-07 14h54.17.428320 -0700,
"[0, 0]",space,56,56,0,None,0,,,0,56,56,56,226.69400280015543,,,,,,,,,,,,,,226.68600019998848,226.702237599995,226.702237599995,226.702237599995,227.69467289978638,227.69467289978638,228.68690089974552,228.6871833000332,None,0,None,2126021.4140367,228.69599570007995,228.69599570007995,,,,,,sham_scott,001,2026-07-07_14h54.17.177,untitled,,2026.1.3,119.62838678062113,2026-07-07 14h54.17.428320 -0700,
"[-0.2, 0]",None,57,57,0,None,1,,,0,57,57,57,228.69599570007995,,,,,,,,,,,,,,228.68766660010442,228.69599570007995,228.69599570007995,228.69599570007995,229.6962875998579,229.68761839997023,230.6887106001377,230.6807900001295,None,1,None,2126023.4156851,230.6887106001377,230.6887106001377,,,,,,sham_scott,001,2026-07-07_14h54.17.177,untitled,,2026.1.3,119.62838678062113,2026-07-07 14h54.17.428320 -0700,
"[0.2, 0]",None,58,58,0,None,1,,,0,58,58,58,230.6887106001377,,,,,,,,,,,,,,230.68107219971716,230.69749439973384,230.69749439973384,230.69749439973384,231.69758749986067,231.6900705997832,232.69012570008636,232.68265380011871,None,1,None,2126025.4091195,232.69012570008636,232.69012570008636,,,,,,sham_scott,001,2026-07-07_14h54.17.177,untitled,,2026.1.3,119.62838678062113,2026-07-07 14h54.17.428320 -0700,
"[0, -0.2]",None,59,59,0,None,1,,,0,59,59,59,232.69012570008636,,,,,,,,,,,,,,232.68299699993804,232.698793400079,232.698793400079,232.698793400079,233.69958289992064,233.69092059973627,234.69193889992312,234.68423649994656,None,1,None,2126027.411037,234.69193889992312,234.69193889992312,,,,,,sham_scott,001,2026-07-07_14h54.17.177,untitled,,2026.1.3,119.62838678062113,2026-07-07 14h54.17.428320 -0700,
"[0.2, 0]",space,60,60,0,space,1,0.598203799687326,0.24006420001387596,0,60,60,60,234.69193889992312,,,,,,,,,,,,,,234.68452739994973,234.7005892000161,234.7005892000161,234.7005892000161,235.7009732001461,235.69306410010904,236.69401639979333,236.6861017998308,space,1,None,2126029.4125721,236.69401639979333,236.69401639979333,0.598203799687326,0.24006420001387596,,,,sham_scott,001,2026-07-07_14h54.17.177,untitled,,2026.1.3,119.62838678062113,2026-07-07 14h54.17.428320 -0700,
"[-0.2, 0]",None,61,61,0,None,1,,,0,61,61,61,236.69401639979333,,,,,,,,,,,,,,236.68668469972908,236.70236059976742,236.70236059976742,236.70236059976742,237.69401319976896,237.69401319976896,238.68666390003636,238.68690630001947,None,1,None,2126031.414678,238.69524599984288,238.69524599984288,,,,,,sham_scott,001,2026-07-07_14h54.17.177,untitled,,2026.1.3,119.62838678062113,2026-07-07 14h54.17.428320 -0700,
"[0, 0.2]",None,62,62,0,None,1,,,0,62,62,62,238.69524599984288,,,,,,,,,,,,,,238.68718730006367,238.69524599984288,238.69524599984288,238.69524599984288,239.69612840004265,239.68755340017378,240.6885343999602,240.68046850012615,None,1,None,2126033.4152329,240.6885343999602,240.6885343999602,,,,,,sham_scott,001,2026-07-07_14h54.17.177,untitled,,2026.1.3,119.62838678062113,2026-07-07 14h54.17.428320 -0700,
"[0, -0.2]",None,63,63,0,None,1,,,0,63,63,63,240.6885343999602,,,,,,,,,,,,,,240.68082890007645,240.69679330009967,240.69679330009967,240.69679330009967,241.69819469982758,241.68964829994366,242.68995760008693,242.68189080012962,None,1,None,2126035.4088664,242.68995760008693,242.68995760008693,,,,,,sham_scott,001,2026-07-07_14h54.17.177,untitled,,2026.1.3,119.62838678062113,2026-07-07 14h54.17.428320 -0700,
"[0, 0]",None,64,64,0,None,1,,,0,64,64,64,242.68995760008693,,,,,,,,,,,,,,242.6821608999744,242.69901990005746,242.69901990005746,242.69901990005746,243.69923130003735,243.6909365998581,244.69243869977072,244.68450290011242,None,1,None,2126037.4102113,244.69243869977072,244.69243869977072,,,,,,sham_scott,001,2026-07-07_14h54.17.177,untitled,,2026.1.3,119.62838678062113,2026-07-07 14h54.17.428320 -0700,
