location,corrAns,thisN,thisTrialN,thisRepN,response_2.keys,response_2.corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,piloting,Instructions_2.started,instructions_2.started,key_resp_2.started,Instructions_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,Fixation.started,fixation_1.started,fixation_1.stopped,Fixation.stopped,N_back_2_trials.started,grid_lines_2.started,target_square_2.started,response_2.started,fixation_3.started,target_square_2.stopped,fixation_3.stopped,N_back_2_trials.stopped,trials.response_2.keys,trials.response_2.corr,LIFU_marker,LSL_Time,grid_lines_2.stopped,response_2.stopped,End.started,thank_you.started,thank_you.stopped,End.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
"[0.2, -0.2]",None,12,12,0,None,1,0,12,12,12,39.80911809997633,,,,,,,,,,,,,,39.80174700031057,39.81758880009875,39.81758880009875,39.81758880009875,40.81784899998456,40.80954170040786,41.809172900393605,41.801254800055176,None,1,None,2562964.9136902,41.809172900393605,41.809172900393605,,,,,dontuse,001,2026-07-12_16h18.39.406,untitled,,2026.1.3,120.31233038668499,2026-07-12 16h19.09.703884 -0700,
"[-0.2, -0.2]",None,13,13,0,None,1,0,13,13,13,41.809172900393605,,,,,,,,,,,,,,41.8017669999972,41.81780510023236,41.81780510023236,41.81780510023236,42.821717200335115,42.821717200335115,43.81315240031108,43.80518610030413,None,1,None,2562966.9137221,43.81315240031108,43.81315240031108,,,,,dontuse,001,2026-07-12_16h18.39.406,untitled,,2026.1.3,120.31233038668499,2026-07-12 16h19.09.703884 -0700,
"[0.2, -0.2]",space,14,14,0,None,0,0,14,14,14,43.81315240031108,,,,,,,,,,,,,,43.80580099998042,43.82118840003386,43.82118840003386,43.82118840003386,44.82133170031011,44.81342150038108,45.81312509998679,45.805245500057936,None,0,None,2562968.9177361,45.81312509998679,45.81312509998679,,,,,dontuse,001,2026-07-12_16h18.39.406,untitled,,2026.1.3,120.31233038668499,2026-07-12 16h19.09.703884 -0700,
"[0, 0.2]",None,15,15,0,None,1,0,15,15,15,45.81312509998679,,,,,,,,,,,,,,45.805772700347006,45.82139450032264,45.82139450032264,45.82139450032264,46.821582400240004,46.8132458999753,47.813201600220054,47.805262099951506,None,1,None,2562970.9177303,47.813201600220054,47.813201600220054,,,,,dontuse,001,2026-07-12_16h18.39.406,untitled,,2026.1.3,120.31233038668499,2026-07-12 16h19.09.703884 -0700,
"[0.2, 0.2]",None,16,16,0,None,1,0,16,16,16,47.813201600220054,,,,,,,,,,,,,,47.80579090025276,47.821413800120354,47.821413800120354,47.821413800120354,48.82144770026207,48.81321970000863,49.813277900218964,49.80541090015322,None,1,None,2562972.917749,49.813277900218964,49.813277900218964,,,,,dontuse,001,2026-07-12_16h18.39.406,untitled,,2026.1.3,120.31233038668499,2026-07-12 16h19.09.703884 -0700,
"[0, 0]",None,17,17,0,None,1,0,17,17,17,49.813277900218964,,,,,,,,,,,,,,49.80603800015524,49.82159830024466,49.82159830024466,49.82159830024466,50.82162890024483,50.81331240013242,51.81330520007759,51.805407100357115,None,1,None,2562974.9179834,51.81330520007759,51.81330520007759,,,,,dontuse,001,2026-07-12_16h18.39.406,untitled,,2026.1.3,120.31233038668499,2026-07-12 16h19.09.703884 -0700,
"[0, -0.2]",None,18,18,0,None,1,0,18,18,18,51.81330520007759,,,,,,,,,,,,,,51.80605070013553,51.82163180038333,51.82163180038333,51.82163180038333,52.82174680009484,52.81332170031965,53.813116000033915,53.80537720024586,None,1,None,2562976.9180065,53.813116000033915,53.813116000033915,,,,,dontuse,001,2026-07-12_16h18.39.406,untitled,,2026.1.3,120.31233038668499,2026-07-12 16h19.09.703884 -0700,
"[0.2, 0]",None,19,19,0,None,1,0,19,19,19,53.813116000033915,,,,,,,,,,,,,,53.80599470017478,53.82199490023777,53.82199490023777,53.82199490023777,54.82356470031664,54.81323680002242,55.825330700259656,55.81870790012181,None,1,None,2562978.9179389,55.813435500022024,55.813435500022024,,,,,dontuse,001,2026-07-12_16h18.39.406,untitled,,2026.1.3,120.31233038668499,2026-07-12 16h19.09.703884 -0700,
"[0, -0.2]",space,20,20,0,None,0,0,20,20,20,55.825330700259656,,,,,,,,,,,,,,55.8193077002652,55.825330700259656,55.825330700259656,55.825330700259656,56.821390400175005,56.821390400175005,57.81552840024233,57.81595680024475,None,0,None,2562980.9312613,57.821609400212765,57.821609400212765,,,,,dontuse,001,2026-07-12_16h18.39.406,untitled,,2026.1.3,120.31233038668499,2026-07-12 16h19.09.703884 -0700,
"[-0.2, 0.2]",None,21,21,0,None,1,0,21,21,21,57.821609400212765,,,,,,,,,,,,,,57.81646730005741,57.821609400212765,57.821609400212765,57.821609400212765,58.821506400126964,58.81329060019925,59.813489200081676,59.80553390039131,None,1,None,2562982.9284232,59.813489200081676,59.813489200081676,,,,,dontuse,001,2026-07-12_16h18.39.406,untitled,,2026.1.3,120.31233038668499,2026-07-12 16h19.09.703884 -0700,
