Time, Ch01, Ch02, Ch03, Ch04, Ch05, Ch06
0,3524.971435546875,0.0056664622388780117,3.2108793675433844e-05,6.4217584849757259e-07,-0.5550236701965332,3.724524974822998
0.004,3416.729248046875,0.049223620444536209,0.0024229648988693953,4.9101472541224211e-05,-0.55501210689544678,271.72308349609375
0.008,4772.6875,0.21841299533843994,0.047704238444566727,0.0010031862184405327,-0.55478399991989136,560.81573486328125
0.012,4478.71728515625,0.67382133007049561,0.4540351927280426,0.010083889588713646,-0.55261152982711792,5511.3076171875
0.016,3667.879638671875,1.643502950668335,2.7011020183563232,0.06410592794418335,-0.53968751430511475,7779.93896484375
0.02,3298.97412109375,3.3906033039093018,11.496191024780273,0.29402971267700195,-0.48468184471130371,23884.21484375
0.024,4556.70458984375,6.1653432846069336,38.011463165283203,1.0542590618133545,-0.30280885100364685,34808.25
0.028,4633.23681640625,10.168133735656738,103.39095306396484,3.1220779418945312,0.19188471138477325,49868.5234375
0.032,3826.30859375,15.530438423156738,241.19453430175781,7.9459686279296875,1.3459253311157227,49868.5234375
0.036,3237.36669921875,22.296350479125977,497.12728881835938,17.888515472412109,3.724524974822998,49868.5234375
0.04,4311.75244140625,30.399486541748047,924.1287841796875,36.371086120605469,8.1461925506591797,49868.5234375
0.044,4775.73974609375,39.648906707763672,1572.0357666015625,67.811805725097656,15.667895317077637,49868.5234375
0.048,3982.878173828125,49.731311798095703,2473.203125,117.27586364746094,27.50140380859375,49868.5234375
0.052,3227.615966796875,60.221271514892578,3626.6015625,189.80790710449219,44.853565216064453,49868.5234375
0.056,4046.178466796875,70.592811584472656,4983.34521484375,289.47479248046875,68.697311401367188,49868.5234375
0.06,4876.85302734375,80.23602294921875,6437.8193359375,418.231201171875,99.500289916992188,49868.5234375
0.064,4099.8701171875,88.48297119140625,7829.23681640625,574.81591796875,136.96073913574219,49868.5234375
0.068,3281.23583984375,94.63983154296875,8956.6982421875,753.94989013671875,179.81576538085938,49868.5234375
0.072,3792.90576171875,98.020896911621094,9608.0966796875,946.11181640625,225.78752136230469,49868.5234375
0.076,4911.7802734375,97.982345581054688,9600.5390625,1138.1226806640625,271.72308349609375,49868.5234375
0.08,4335.09375,93.955612182617188,8827.65625,1314.67578125,313.960693359375,49868.5234375
0.084,4849.7919921875,85.482749938964844,7307.30078125,1460.8218994140625,348.92391967773438,49868.5234375
0.088,4089.21240234375,72.25537109375,5220.8388671875,1565.2386474609375,373.90399169921875,49868.5234375
0.092,3252.030029296875,54.143321990966797,2931.499267578125,1623.8685302734375,387.93026733398438,49868.5234375
0.096,3720.403076171875,31.197582244873047,973.2890625,1643.3343505859375,392.587158203125,49868.5234375
0.1,4886.58056640625,3.644622802734375,13.283276557922363,1643.5999755859375,392.65072631835938,49868.5234375
0.104,4201.34130859375,-28.103363037109375,789.79901123046875,1659.3961181640625,396.4296875,49868.5234375
0.108,3354.048828125,-63.435375213623047,4024.046875,1739.876708984375,415.68344116210938,49868.5234375
0.112,3506.303466796875,-101.55178070068359,10312.763671875,1946.1322021484375,465.02679443359375,49868.5234375
0.116,4851.29443359375,-141.49162292480469,20019.880859375,2346.530029296875,560.81573486328125,49868.5234375
0.12,4324.07958984375,-182.15634155273438,33180.9296875,3010.1484375,719.576171875,49868.5234375
0.124,3492.498779296875,-222.33125305175781,49431.1875,3998.772216796875,956.08905029296875,49868.5234375
0.128,3350.639892578125,-260.71817016601562,67973.9609375,5358.25146484375,1281.3232421875,49868.5234375
0.132,4715.84765625,-295.97967529296875,87603.9765625,7110.3310546875,1700.4810791015625,49868.5234375
0.136,4456.234375,-326.7841796875,106787.8984375,9246.0888671875,2211.427734375,49868.5234375
0.14,3655.005126953125,-351.84716796875,123796.421875,11722.0185546875,2803.75537109375,49868.5234375
0.144,3261.852783203125,-369.97256469726562,136879.703125,14459.6123046875,3458.682373046875,49868.5234375
0.148,4495.76416015625,-380.09585571289062,144472.84375,17349.068359375,4149.93994140625,49868.5234375
0.152,4620.8857421875,-381.32601928710938,145409.546875,20257.259765625,4845.6787109375,49868.5234375
0.156,3812.50390625,-372.98309326171875,139116.375,23039.587890625,5511.3076171875,49868.5234375
0.16,3203.344482421875,-354.62728881835938,125760.5234375,25554.796875,6113.03271484375,49868.5234375
0.164,4247.64208984375,-326.07968139648438,106327.9609375,27681.35546875,6621.77880859375,49868.5234375
0.168,4760.8857421875,-287.439208984375,82621.296875,29333.78125,7017.09619140625,49868.5234375
0.172,3960.037841796875,-239.094970703125,57166.40625,30477.109375,7290.61962890625,49868.5234375
0.176,3205.1328125,-181.72616577148438,33024.3984375,31137.599609375,7448.63134765625,68736.421875
0.18,3987.431640625,-116.28940582275391,13523.224609375,31408.0625,7513.3349609375,68736.421875
0.184,4853.9404296875,-43.999626159667969,1935.9671630859375,31446.78125,7522.59765625,68736.421875
0.188,4085.374267578125,33.691490173339844,1135.1165771484375,31469.484375,7528.02978515625,68736.421875
0.192,3259.01513671875,115.12581634521484,13253.953125,31734.5625,7591.4453125,68736.421875
0.196,3734.899169921875,198.48197937011719,39395.09375,32522.46484375,7779.93896484375,70864.1484375
0.2,4890.609375,281.82437133789062,79424.9765625,34110.9609375,8159.96240234375,70864.1484375
0.204,4216.29052734375,363.14950561523438,131877.578125,36748.51953125,8790.9580078125,70864.1484375
0.208,3367.305419921875,440.43392944335938,193982.046875,40628.15625,9719.099609375,70864.1484375
0.212,3527.59375,511.69052124023438,261827.203125,45864.6875,10971.857421875,70864.1484375
0.216,4848.02734375,575.02655029296875,330655.5,52477.7421875,12553.927734375,70864.1484375
0.22,4334.3779296875,628.69415283203125,395256.34375,60382.64453125,14445.052734375,70864.1484375
0.224,3506.780029296875,671.13409423828125,450420.9375,69390.296875,16599.994140625,70864.1484375
0.228,3371.811279296875,701.01934814453125,491428.15625,79216.796875,18950.833984375,70864.1484375
0.232,4707.7421875,717.2998046875,514519,89502.3515625,21411.490234375,70864.1484375
0.236,4466.93994140625,719.23309326171875,517296.25,99838.3359375,23884.21484375,70864.1484375
0.24,3670.59716796875,706.40234375,499004.25,109799.9375,26267.37109375,70864.1484375
0.244,3254.723876953125,678.73162841796875,460676.65625,118982.0390625,28464.046875,70864.1484375
0.248,4477.23828125,636.49530029296875,405126.25,127035.1015625,30390.619140625,70864.1484375
0.252,4621.24365234375,580.3172607421875,336768.15625,133697.921875,31984.59375,70864.1484375
0.256,3825.974609375,511.154296875,261278.71875,138823.828125,33210.88671875,70864.1484375
0.26,3183.484375,430.27362060546875,185135.375,142397.796875,34065.8984375,70864.1484375
0.264,4236.31640625,339.22796630859375,115075.609375,144542.703125,34579.04296875,72846.609375
0.268,4754.40087890625,239.8211669921875,57514.1875,145513.84375,34811.3671875,72846.609375
0.272,3966.713623046875,134.06330871582031,17972.96875,145681.171875,34851.3984375,72846.609375
0.276,3188.205078125,24.120697021484375,581.8079833984375,145500.796875,34808.25,72846.609375
0.28,3979.80224609375,-87.733322143554688,7697.1357421875,145478.171875,34802.8359375,72846.609375
0.284,4862.35693359375,-199.17037963867188,39668.8359375,146125.421875,34957.6796875,72846.609375
0.288,4099.1787109375,-307.86346435546875,94779.9140625,147916.578125,35386.1875,72846.609375
0.292,3258.56201171875,-411.54364013671875,169368.171875,151245.328125,36182.54296875,72846.609375
0.296,3734.708251953125,-508.05291748046875,258117.75,156388.203125,37412.89453125,72846.609375
0.3,4904.19921875,-595.3919677734375,354491.59375,163477.75,39108.95703125,72846.609375
0.304,4218.88916015625,-671.7664794921875,451270.1875,172487.375,41264.3671875,65058.8125
0.308,3361.63037109375,-735.62872314453125,541149.6875,183229.875,43834.34375,65058.8125
0.312,3524.255859375,-785.7117919921875,617343,195370.5,46738.80078125,65058.8125
0.316,4859.68603515625,-821.0556640625,674132.375,208452.75,49868.5234375,65058.8125
0.32,4329.44384765625,-841.02520751953125,707323.375,221935.59375,53094.0859375,65058.8125
0.324,3505.25390625,-845.32147216796875,714568.375,235238.34375,56276.5546875,65058.8125
0.328,3367.996826171875,-833.98602294921875,695532.6875,247789.5,59279.23046875,65058.8125
0.332,4716.6591796875,-807.3939208984375,651884.875,259075.125,61979.14453125,65058.8125
0.336,4461.5029296875,-766.2406005859375,587124.6875,268681.90625,64277.41796875,65058.8125
0.34,3672.88623046875,-711.51934814453125,506259.75,276331.15625,66107.375,65058.8125
0.344,3260.565185546875,-644.49578857421875,415374.84375,281901,67439.875,52885.73046875
0.348,4493.0693359375,-566.6737060546875,321119.09375,285433.9375,68285.0859375,52885.73046875
0.352,4615.97509765625,-479.75692749023438,230166.703125,287129.09375,68690.609375,52885.73046875
0.356,3833.103515625,-385.60531616210938,148691.453125,287320.59375,68736.421875,52885.73046875
0.36,3200.078125,-286.190185546875,81904.8125,286443.5,68526.6015625,52885.73046875
0.364,4240.56103515625,-183.548828125,33690.17578125,284990.75,68179.046875,52885.73046875
0.368,4759.359375,-79.73736572265625,6358.046875,283465.4375,67814.1484375,52885.73046875
0.372,3970.7421875,23.216506958007812,539.0062255859375,282332.9375,67543.2109375,52885.73046875
0.376,3201.103515625,123.35858154296875,15217.3408203125,281976.75,67458,52885.73046875
0.38,3969.55029296875,218.84786987304688,47894.39453125,282664.1875,67622.4609375,52885.73046875
0.384,4864.5498046875,307.99282836914062,94859.5859375,284522.6875,68067.0625,52885.73046875
0.388,4098.39208984375,389.28555297851562,151543.21875,287530.84375,68786.7265625,52885.73046875
0.392,3260.97021484375,461.43099975585938,212918.578125,291524.15625,69742.0625,52885.73046875
0.396,3717.708984375,523.3660888671875,273912.09375,296214.4375,70864.1484375,32211.587890625
0.4,4898.4287109375,574.27410888671875,329790.75,301221.75,72062.0625,32211.587890625
0.404,4218.79296875,613.59375,376497.25,306114.1875,73232.5,32211.587890625
0.408,3370.690673828125,641.0252685546875,410913.40625,310452.84375,74270.4609375,32211.587890625
0.412,3509.283203125,656.52410888671875,431023.90625,313836.75,75080,32211.587890625
0.416,4856.84912109375,660.28973388671875,435982.5,315943.25,75583.9609375,32211.587890625
0.42,4341.5546875,652.7523193359375,426085.59375,316559.90625,75731.4765625,32211.587890625
0.424,3513.574951171875,634.55450439453125,402659.40625,315604.65625,75502.9609375,32211.587890625
0.428,3355.240966796875,606.5267333984375,367874.6875,313133.59375,74911.7890625,32211.587890625
0.432,3975.98779296875,569.6572265625,324509.34375,309333.40625,74002.6484375,32211.587890625
0.436,4867.43505859375,525.05938720703125,275687.40625,304501.1875,72846.609375,32211.587890625
0.44,4096.69921875,473.94354248046875,224622.46875,299013.59375,71533.796875,32211.587890625
0.444,3267.479248046875,417.59115600585938,174382.375,293287.6875,70163.9609375,32211.587890625
0.448,3726.10107421875,357.32260131835938,127679.4375,287738.75,68836.4765625,28304
0.452,4892.80322265625,294.46157836914062,86707.625,282737.5,67639.984375,28304
0.456,4224.5146484375,230.30441284179688,53040.1171875,278572.75,66643.6484375,28304
0.46,3377.986328125,166.09530639648438,27587.650390625,275421.84375,65889.8359375,28304
0.464,3513.97998046875,103.00119781494141,10609.2470703125,273332.4375,65389.98046875,28304
0.468,4843.85546875,42.088298797607422,1771.4248046875,272217.65625,65123.28125,28304
0.472,4342.3896484375,-15.695530891418457,246.34968566894531,271863.09375,65038.4609375,28304
0.476,3516.578857421875,-69.53375244140625,4834.94287109375,271948.15625,65058.8125,28304
0.48,3364.72998046875,-118.75215911865234,14102.0751953125,272076.25,65089.45703125,28304
0.484,4705.66796875,-162.82504272460938,26511.994140625,271813.15625,65026.51953125,28304
0.488,4478.5263671875,-201.37545776367188,40552.07421875,270728.59375,64767.05078125,28304
0.492,3680.086669921875,-234.17245483398438,54836.73828125,268437.9375,64219.05078125,28304
0.496,3250.909423828125,-261.12713623046875,68187.375,264639.34375,63310.29296875,28304
0.5,4466.41552734375,-282.28402709960938,79684.2734375,259143.171875,61995.41796875,28304
0.504,4631.2099609375,-297.806640625,88688.796875,251891.546875,60260.58203125,28304
0.508,3832.76953125,-307.96331787109375,94841.4140625,242965.375,58125.13671875,28304
0.512,3184.748046875,-313.11273193359375,98039.5859375,232579.328125,55640.4296875,28304
0.516,4227.56640625,-313.68759155273438,98399.9140625,221064.671875,52885.73046875,28304
0.52,4771.7333984375,-310.17367553710938,96207.7109375,208842.34375,49961.73046875,28304
0.524,3975.034423828125,-303.09124755859375,91864.296875,196388.25,46982.28125,28304
0.528,3193.569580078125,-292.97894287109375,85836.6640625,184194.34375,44065.08203125,28304
0.532,3965.87890625,-280.378662109375,78612.1875,172728.875,41322.14453125,28304
0.536,4864.3828125,-265.81753540039062,70658.9609375,162399.578125,38851.01953125,28304
0.54,4106.06884765625,-249.79267883300781,62396.38671875,153522.328125,36727.2734375,28304
0.544,3257.41796875,-232.76164245605469,54177.98046875,146298.375,34999.0546875,28304
0.548,3719.568359375,-215.1343994140625,46282.8046875,140801.671875,33684.0546875,28304
0.552,4898.83447265625,-197.26472473144531,38913.3671875,136976.578125,32768.9609375,28304
0.556,4221.0576171875,-179.44340515136719,32199.93359375,134646.75,32211.587890625,28304
0.56,3362.178955078125,-161.89765930175781,26210.853515625,133532.875,31945.109375,28304
0.564,3506.16015625,-144.79365539550781,20965.203125,133278.375,31884.224609375,28304
0.568,4846.76416015625,-128.23751831054688,16444.859375,133480.09375,31932.48046875,28304
0.572,4330.8974609375,-112.277587890625,12606.255859375,133721.453125,31990.224609375,28304
0.576,3510.809326171875,-96.91168212890625,9391.873046875,133604.953125,31962.353515625,10418.7392578125
0.58,3351.903564453125,-82.096824645996094,6739.88916015625,132781.84375,31765.43359375,10418.7392578125
0.584,4694.3662109375,-67.756629943847656,4590.9609375,130976.484375,31333.53125,10418.7392578125
0.588,4460.8359375,-53.788932800292969,2893.249267578125,128003.484375,30622.291015625,10418.7392578125
0.592,3672.19482421875,-40.076435089111328,1606.1207275390625,123777.234375,29611.224609375,10418.7392578125
0.596,3242.850830078125,-26.497814178466797,702.1341552734375,118313.0390625,28304,10418.7392578125
0.6,4465.4609375,-12.936439514160156,167.35148620605469,111720.5625,26726.853515625,10418.7392578125
0.604,4619.7890625,0.7122071385383606,0.50723904371261597,104190.625,24925.431640625,10418.7392578125
0.608,3831.172607421875,14.532168388366699,211.18391418457031,95976.5859375,22960.353515625,10418.7392578125
0.612,3189.11083984375,28.579708099365234,816.7996826171875,87372.4375,20901.943359375,10418.7392578125
0.616,4212.18896484375,42.878631591796875,1838.576904296875,78689.5625,18824.69921875,10418.7392578125
0.62,4748.98828125,57.417034149169922,3296.716064453125,70233.7890625,16801.787109375,10418.7392578125
0.624,3971.88671875,72.144760131835938,5204.8662109375,62284.69921875,14900.0908203125,10418.7392578125
0.628,3194.237060546875,86.9727783203125,7564.26416015625,55078.4921875,13176.1171875,10418.7392578125
0.632,3942.346923828125,101.77463531494141,10358.076171875,48795.4609375,11673,10418.7392578125
