Time,marker,LSL_timestamp
3.32152880000649,collecting_baseline,471418.389361
3.3807929000467993,collecting_baseline,471418.4486251
3.423871800012421,collecting_baseline,471418.491704
3.4602329000481404,collecting_baseline,471418.5280651
3.4915627000154927,collecting_baseline,471418.5593949
3.537106200004928,collecting_baseline,471418.6049384
3.562340900010895,collecting_baseline,471418.6301731
3.624378800042905,collecting_baseline,471418.692211
3.6602354000206105,collecting_baseline,471418.7280676
3.6958334000082687,collecting_baseline,471418.7636656
3.7347033000551164,collecting_baseline,471418.8025355
3.774185100046452,collecting_baseline,471418.8420173
3.81326560000889,collecting_baseline,471418.8810978
3.8663211000384763,collecting_baseline,471418.9341533
3.8917746000224724,collecting_baseline,471418.9596068
3.935707500029821,collecting_baseline,471419.0035397
3.9707523000543006,collecting_baseline,471419.0385845
4.017651600006502,collecting_baseline,471419.0854838
4.045241300016642,collecting_baseline,471419.1130735
4.104546200018376,collecting_baseline,471419.1723784
4.139514000038616,collecting_baseline,471419.2073462
4.183188499999233,collecting_baseline,471419.2510207
4.213888900005259,collecting_baseline,471419.2817211
4.252638600009959,collecting_baseline,471419.3204708
4.291204600012861,collecting_baseline,471419.3590368
4.3395811000373214,collecting_baseline,471419.4074133
4.376544300001115,collecting_baseline,471419.4443765
4.418884100043215,collecting_baseline,471419.4867163
4.453329300042242,collecting_baseline,471419.5211615
4.49206050002249,collecting_baseline,471419.5598927
4.529262199997902,collecting_baseline,471419.5970944
4.581150800047908,collecting_baseline,471419.648983
4.616469300002791,collecting_baseline,471419.6843015
4.655270200048108,collecting_baseline,471419.7231024
4.686232900014147,collecting_baseline,471419.7540651
4.729442000039853,collecting_baseline,471419.7972742
4.764840900024865,collecting_baseline,471419.8326731
4.817852900014259,collecting_baseline,471419.8856851
4.853935600025579,collecting_baseline,471419.9217678
4.90287560003344,collecting_baseline,471419.9707078
4.932440400007181,collecting_baseline,471420.0002726
4.971735400031321,collecting_baseline,471420.0395676
5.011268100002781,collecting_baseline,471420.0791003
5.071871699998155,collecting_baseline,471420.1397039
5.093721500015818,collecting_baseline,471420.1615537
5.137035500025377,collecting_baseline,471420.2048677
5.169741600053385,collecting_baseline,471420.2375738
5.213812300004065,collecting_baseline,471420.2816445
5.242090300016571,collecting_baseline,471420.3099225
5.297965900041163,collecting_baseline,471420.3657981
5.329822300001979,collecting_baseline,471420.3976545
5.37689810001757,collecting_baseline,471420.4447303
5.409369100001641,collecting_baseline,471420.4772013
5.464892200019676,collecting_baseline,471420.5327244
5.487774300039746,collecting_baseline,471420.5556065
5.53830520005431,collecting_baseline,471420.6061374
5.571742500003893,collecting_baseline,471420.6395747
5.613095100037754,collecting_baseline,471420.6809273
5.6483334000222385,collecting_baseline,471420.7161656
5.690125000022817,collecting_baseline,471420.7579572
5.7192116000223905,collecting_baseline,471420.7870438
5.778587300039362,collecting_baseline,471420.8464195
5.813232900050934,collecting_baseline,471420.8810651
5.857607900048606,collecting_baseline,471420.9254401
5.88994130003266,collecting_baseline,471420.9577735
5.929842000012286,collecting_baseline,471420.9976742
5.964185900054872,collecting_baseline,471421.0320181
6.019867399998475,collecting_baseline,471421.0876996
6.0535554000525735,collecting_baseline,471421.1213876
6.095174100017175,collecting_baseline,471421.1630063
6.12723530002404,collecting_baseline,471421.1950675
6.1767201000475325,collecting_baseline,471421.2445523
6.205572100006975,collecting_baseline,471421.2734043
6.260678400052711,collecting_baseline,471421.3285106
6.293519200000446,collecting_baseline,471421.3613514
6.334936300001573,collecting_baseline,471421.4027685
6.367426200013142,collecting_baseline,471421.4352584
6.409019200014882,collecting_baseline,471421.4768514
6.442852400010452,collecting_baseline,471421.5106846
6.49740470002871,collecting_baseline,471421.5652369
6.553023500018753,collecting_baseline,471421.6208557
6.584013400017284,collecting_baseline,471421.6518456
6.627258000022266,collecting_baseline,471421.6950902
6.666454500053078,collecting_baseline,471421.7342867
6.696444800007157,collecting_baseline,471421.764277
6.745194600021932,collecting_baseline,471421.8130268
6.773667600005865,collecting_baseline,471421.8414998
6.825369900034275,collecting_baseline,471421.8932021
6.846154400031082,collecting_baseline,471421.9139866
6.901727300020866,collecting_baseline,471421.9695595
6.928246700030286,collecting_baseline,471421.9960789
6.98163440002827,collecting_baseline,471422.0494666
7.01598120003473,collecting_baseline,471422.0838134
7.054311600048095,collecting_baseline,471422.1221438
7.085415400040802,collecting_baseline,471422.1532476
7.13193290005438,collecting_baseline,471422.1997651
7.167954500007909,collecting_baseline,471422.2357867
7.731098500022199,collecting_baseline,471422.7989307
7.774637300055474,collecting_baseline,471422.8424695
7.809529600024689,collecting_baseline,471422.8773618
7.850774899998214,collecting_baseline,471422.9186071
7.887800400028937,collecting_baseline,471422.9556326
7.942294800013769,collecting_baseline,471423.010127
7.975163200055249,collecting_baseline,471423.0429954
8.018970000033733,collecting_baseline,471423.0868022
8.051401200005785,collecting_baseline,471423.1192334
8.088666800002102,collecting_baseline,471423.156499
8.123005000001285,collecting_baseline,471423.1908372
8.181712800054811,collecting_baseline,471423.249545
8.216089900000952,collecting_baseline,471423.2839221
8.253323100041598,collecting_baseline,471423.3211553
8.291380100010429,collecting_baseline,471423.3592123
8.330979600024875,collecting_baseline,471423.3988118
8.361621300049592,collecting_baseline,471423.4294535
8.419242800038774,collecting_baseline,471423.487075
8.454279400000814,collecting_baseline,471423.5221116
8.494307100016158,collecting_baseline,471423.5621393
8.532889500027522,collecting_baseline,471423.6007217
8.57113700004993,collecting_baseline,471423.6389692
8.60742760001449,collecting_baseline,471423.6752598
8.658673199999612,collecting_baseline,471423.7265054
8.704244800028391,collecting_baseline,471423.772077
8.737917300022673,collecting_baseline,471423.8057495
8.769650600035675,collecting_baseline,471423.8374828
8.813105000008363,collecting_baseline,471423.8809372
8.849723900028039,collecting_baseline,471423.9175561
8.90143560001161,collecting_baseline,471423.9692678
8.941460600006394,collecting_baseline,471424.0092928
8.981511900026817,collecting_baseline,471424.0493441
9.012396200036164,collecting_baseline,471424.0802284
9.061231300001964,collecting_baseline,471424.1290635
9.082837600028142,collecting_baseline,471424.1506698
9.139842400036287,collecting_baseline,471424.2076746
9.86283060000278,collecting_baseline,471424.9306628
9.911159900017083,collecting_baseline,471424.9789921
9.957544500008225,collecting_baseline,471425.0253767
10.006895800004713,collecting_baseline,471425.074728
10.067332600010559,collecting_baseline,471425.1351648
10.092433300043922,collecting_baseline,471425.1602655
10.130321600008756,collecting_baseline,471425.1981538
10.174620100005995,collecting_baseline,471425.2424523
10.224542500043754,collecting_baseline,471425.2923747
10.264045600022655,collecting_baseline,471425.3318778
10.295268600049894,collecting_baseline,471425.3631008
10.36429630004568,collecting_baseline,471425.4321285
10.428464900003746,collecting_baseline,471425.4962971
10.45205540000461,collecting_baseline,471425.5198876
10.501257500029169,collecting_baseline,471425.5690897
10.546036800020374,collecting_baseline,471425.613869
10.581683800031897,collecting_baseline,471425.649516
11.19023659999948,collecting_baseline,471426.2580688
11.226647900009993,collecting_baseline,471426.2944801
11.285189500020351,collecting_baseline,471426.3530217
11.322414700000081,collecting_baseline,471426.3902469
11.37781299999915,collecting_baseline,471426.4456452
11.40014110004995,collecting_baseline,471426.4679733
11.433992700011004,collecting_baseline,471426.5018249
11.476429200032726,collecting_baseline,471426.5442614
11.520421500026714,collecting_baseline,471426.5882537
11.566521300002933,collecting_baseline,471426.6343535
11.599745200015604,collecting_baseline,471426.6675774
11.63323480001418,collecting_baseline,471426.701067
11.67552920000162,collecting_baseline,471426.7433614
11.71168560005026,collecting_baseline,471426.7795178
11.76577030000044,collecting_baseline,471426.8336025
11.798067000054289,collecting_baseline,471426.8658992
