EEG_time, Ch01, Ch02, Ch03, Ch04, Ch05, Ch06, Ch07, Ch08,timestamp_rel,LIFU_LSL_time,marker,LSL_time,theta_z,LSL_time_rel
0.0,2.444470283080591e-06,7.298905256902799e-05,5.954181688139215e-06,2.874189158319496e-05,0.0001264489255845,1.4410385347218837e-06,4.768676080857404e-05,1.5237146726576611e-06,0.0,16.931435799924657,LIFU_ON,991851.6646114,1.70290771484375,0.0
0.004,0.0001901600771816,0.0055937618017196,0.0004583927802741,0.0022129821591079,0.0096962628886103,0.0001087129785446,0.0036382984835654,0.0001149893869296,0.0,16.931435799924657,LIFU_ON,991851.6706804,1.7717351531982424,0.006068999995477498
0.008,0.0038801948539912,0.1123174428939819,0.0092538325116038,0.0446593649685382,0.1948054730892181,0.0021456195972859,0.0726521387696266,0.0022654861677438,0.0,16.931435799924657,LIFU_ON,991851.6706804,1.7717351531982424,0.006068999995477498
0.012,0.0383831486105918,1.0934995412826538,0.0906529426574707,0.4370161592960357,1.8976520299911497,0.0205299109220504,0.7027249336242675,0.0215620696544647,0.0,16.931435799924657,LIFU_ON,991851.6808015,1.7647351837158205,0.016190099995583296
0.016,0.2384429425001144,6.6937928199768075,0.5587615966796875,2.688270568847656,11.622248649597168,0.1236175745725631,4.269439697265625,0.1285583674907684,0.0,16.931435799924657,LIFU_ON,991851.6808015,1.7647351837158205,0.016190099995583296
0.02,1.0688024759292605,29.61139869689941,2.4902796745300293,11.946932792663574,51.436279296875,0.5385326147079467,18.726232528686523,0.5519402623176574,0.0,16.931435799924657,LIFU_ON,991851.6831304,1.6443902587890626,0.018519000033847988
0.024,3.760008573532105,102.93843841552734,8.725357055664062,41.71315383911133,178.87875366210938,1.8452953100204468,64.47831726074219,1.8559360504150393,0.0,16.931435799924657,LIFU_ON,991851.6831304,1.6443902587890626,0.018519000033847988
0.028,10.976643562316896,297.2015075683594,25.398107528686523,120.94505310058594,516.6384887695312,5.253844261169434,184.1974334716797,5.167278289794922,0.0,16.931435799924657,LIFU_ON,991851.6984587,1.568330535888672,0.03384729998651892
0.032,27.6500301361084,740.7601318359375,63.83641815185546,302.7149963378906,1288.1207275390625,12.914929389953612,453.80322265625,12.384933471679688,0.0,16.931435799924657,LIFU_ON,991851.6984587,1.568330535888672,0.03384729998651892
0.036,61.79802322387695,1638.5347900390625,142.4224395751953,672.4098510742188,2850.16162109375,28.171117782592773,991.2282104492189,26.272686004638672,0.0,16.931435799924657,LIFU_ON,991851.7002173,1.3677978134155275,0.03560589998960495
0.04,125.03647613525392,3281.218017578125,287.7377014160156,1352.259765625,5709.23828125,55.61373901367188,1958.1829833984373,50.31791305541992,0.0,16.931435799924657,LIFU_ON,991851.7010632,1.248608741760254,0.03645180002786219
0.044,232.4395446777344,6036.35693359375,534.20654296875,2498.576904296875,10506.1455078125,100.8115463256836,3550.245361328125,88.27384185791014,0.0,16.931435799924657,LIFU_ON,991851.7161484,1.1216613388061525,0.051536999992094934
0.048,401.4808044433594,10315.341796875,921.6237182617188,4289.0458984375,17958.724609375,169.6383819580078,5972.85693359375,143.39404296875,0.0,16.931435799924657,LIFU_ON,991851.7161484,1.1216613388061525,0.051536999992094934
0.052,649.9296875,16514.666015625,1490.2822265625,6899.10400390625,28759.703125,267.2147827148437,9403.9296875,217.4644470214844,0.0,16.931435799924657,LIFU_ON,991851.7161484,1.1216613388061525,0.051536999992094934
0.056,992.7568359375,24934.83984375,2273.837158203125,10468.4404296875,43435.5234375,396.56878662109375,13946.974609375,309.81610107421875,0.0,16.931435799924657,LIFU_ON,991851.7219432,0.9912953948974612,0.05733179999515414
0.06,1438.3773193359375,35687.67578125,3290.67333984375,15061.6923828125,62184.60546875,557.24267578125,19582.765625,416.58099365234375,0.0,16.931435799924657,LIFU_ON,991851.7234032,0.8621123886108399,0.05879180005285889
0.064,1984.8795166015625,48610.33203125,4535.2958984375,20630.677734375,84727.234375,744.1871948242188,26131.546875,530.5021362304688,0.0,16.931435799924657,LIFU_ON,991851.7280139,0.7387017822265627,0.06340250000357628
0.068,2617.08740234375,63208.73828125,5971.6943359375,26987.416015625,110206.2109375,947.3167724609376,33238.6484375,641.5546875,0.0,16.931435799924657,LIFU_ON,991851.7326316,0.6253762817382814,0.06802020000759512
0.072,3305.324951171875,78651.4140625,7530.6826171875,33797.01171875,137175.21875,1152.0364990234375,40394.17578125,738.5012817382812,0.0,16.931435799924657,LIFU_ON,991851.7357409,0.3797341918945314,0.07112950005102903
0.076,4006.662841796875,93831.3125,9113.044921875,40598.10546875,163705.546875,1340.9478759765625,46993.51953125,811.3370971679686,0.0,16.931435799924657,LIFU_ON,991851.7357409,0.3797341918945314,0.07112950005102903
0.08,4669.2421875,107505.734375,10599.8017578125,46856.10546875,187628.84375,1496.772216796875,52439.6171875,854.4142456054686,0.0,16.931435799924657,LIFU_ON,991851.7357409,0.3797341918945314,0.07112950005102903
0.084,5239.76953125,118511.5234375,11869.8017578125,52048.8984375,206911.578125,1606.3125,56279.29296875,869.7976684570312,0.0,16.931435799924657,LIFU_ON,991851.7573772,0.3361455535888673,0.09276579995639622
0.088,5673.51025390625,126037.875,12823.1123046875,55777.89453125,220129.796875,1665.091796875,58357.11328125,870.197265625,0.0,16.931435799924657,LIFU_ON,991851.7573772,0.3361455535888673,0.09276579995639622
0.092,5945.7646484375,129923.734375,13407.9580078125,57892.04296875,226986.875,1681.892333984375,58965.16796875,880.7811279296875,0.0,16.931435799924657,LIFU_ON,991851.7573772,0.3361455535888673,0.09276579995639622
0.096,6063.99072265625,130932.9140625,13648.8330078125,58610.09375,228794.21875,1681.9228515625,58965.5625,939.31689453125,0.0,16.931435799924657,LIFU_ON,991851.7603152,0.3194051361083986,0.09570379997603595
0.1,6079.55615234375,130953.8359375,13672.865234375,58623.44921875,228823.703125,1707.333984375,59860.78125,1094.271484375,0.0,16.931435799924657,LIFU_ON,991851.7603152,0.3194051361083986,0.09570379997603595
0.104,6097.546875,133073.578125,13730.3984375,59159.5546875,232445.59375,1814.3792724609373,63788.1875,1400.7454833984375,,,,991851.7755528,0.3447436904907228,0.11094140005297959
0.108,6282.3974609375,141489.421875,14204.802734375,61986.44921875,246986.953125,2067.33349609375,73420.2265625,1914.526123046875,,,,991851.7755528,0.3447436904907228,0.11094140005297959
0.112,6856.9765625,161240.59375,15606.5830078125,69342.421875,281277.9375,2529.98388671875,91762.7734375,2684.97216796875,,,,991851.7769105,0.379955062866211,0.1122991000302136
0.116,8093.3505859375,197765.921875,18548.271484375,83784.3515625,344894.15625,3255.844482421875,121859.7265625,3747.703857421875,,,,991851.779351,0.4632028198242189,0.11473959998693317
0.12,10294.4140625,256319.125,23699.162109375,107958.375,447145.5,4278.51025390625,166427.46875,5118.11572265625,,,,991851.779351,0.4632028198242189,0.11473959998693317
0.124,13766.6484375,341298.59375,31721.3125,144308.828125,595909.5,5603.78271484375,227456.203125,6786.515625,,,,991851.7961578,0.5025979614257814,0.13154640002176166
0.128,18785.603515625,455568.90625,43191.2734375,194752.203125,796438.8125,7205.0341796875,305826.15625,8715.4765625,,,,991851.7961578,0.5025979614257814,0.13154640002176166
0.132,25557.412109375,599863.5,58515.39453125,260354.296875,1050297.75,9022.7626953125,400995.09375,10839.9111328125,,,,991851.7961578,0.5025979614257814,0.13154640002176166
0.136,34180.7734375,772358.1875,77848.9140625,341053.25,1354587.75,10968.755859375,510811.90625,13070.349609375,,,,991851.800654,0.5350820159912111,0.13604260003194213
0.14,44614.34375,968491.875,101029.9375,435471.6875,1701593.625,12934.794921875,631502.0,15299.5263671875,,,,991851.8049349,0.5571811294555665,0.14032350003253669
0.144,56654.67578125,1181097.625,127539.5390625,540855.8125,2078964.0,14805.0234375,757854.875,17412.046875,,,,991851.8073395,0.4473241424560548,0.14272810006514192
0.148,69930.0625,1400861.75,156498.171875,653170.5,2470471.5,16470.44921875,883625.1875,19296.677734375,,,,991851.8177094,0.3818358993530275,0.1530979999806732
0.152,83913.875,1617103.0,186705.84375,767365.0,2857333.25,17843.63671875,1002126.875,20860.150390625,,,,991851.8177094,0.3818358993530275,0.1530979999806732
0.156,97959.046875,1818810.375,216727.84375,877797.5,3220000.0,18871.59375,1106975.75,22040.849609375,,,,991851.82328,0.3064401245117188,0.15866860002279282
0.16,111353.109375,1995850.375,245023.34375,978794.6875,3540268.75,19544.916015625,1192906.75,22820.712890625,,,,991851.8237962,0.140312728881836,0.15918479999527335
0.164,123391.1875,2140221.25,270109.25,1065297.75,3803493.5,19901.57421875,1256586.375,23233.8125,,,,991851.8318384,0.0575778579711915,0.16722699999809265
0.168,133461.46875,2247212.0,290746.0,1133538.625,4000669.5,20024.380859375,1297318.625,23370.318359375,,,,991851.8318384,0.0575778579711915,0.16722699999809265
0.172,141135.125,2316326.0,306127.1875,1181663.0,4130124.75,20032.103515625,1317556.0,23374.984375,,,,991851.8363242,0.1432243728637693,0.17171280004549772
0.176,146251.296875,2351837.25,316051.40625,1210236.375,4198600.0,20065.25,1323127.0,23439.94921875,,,,991851.8363242,0.1432243728637693,0.17171280004549772
0.18,148986.25,2362892.0,321055.15625,1222550.625,4221546.5,20268.337890625,1323127.0,23792.390625,,,,991851.8516004,0.1843758010864256,0.18698900006711483
0.184,149896.921875,2363107.5,322484.15625,1224683.625,4222531.0,20771.197265625,1329441.625,24678.244140625,,,,991851.8516004,0.1843758010864256,0.18698900006711483
