Time,Ch01,Ch02,Ch03,Ch04,Ch05,Ch06,Ch07,Ch08,Ch09,Ch10,Ch11,Ch12,Ch13,window_id
1693294.140868,114563.7890625,199999.96875,199999.96875,199999.96875,246.02413940429688,114615.921875,199999.96875,0.6033686399459839,0.364053726196289,34.2850341796875,7.647136688232422,7.647136688232422,0.3480929434299469,0
1693294.1600912,113655.5390625,199999.96875,199999.96875,199999.96875,329.1845703125,113861.2890625,199999.96875,-0.3855211138725281,0.1486265361309051,30.013164520263672,6.62515926361084,7.647136688232422,0.3167746067047119,0
1693294.1609238,114433.9765625,199999.96875,199999.96875,199999.96875,400.5194396972656,114327.4609375,199999.96875,-1.4281686544418335,2.039665937423706,26.037939071655277,5.674147605895996,7.647136688232422,0.2461694478988647,0
1693294.1615461,115217.2265625,199999.96875,199999.96875,199999.96875,312.4952697753906,114945.0234375,199999.96875,-2.501736879348755,6.258687496185303,22.51885032653809,4.832261562347412,7.647136688232422,0.1174798011779785,0
1693294.1627987,114298.8359375,199999.96875,199999.96875,199999.96875,218.8921356201172,114292.2265625,199999.96875,-3.5814850330352783,12.827033996582031,19.584497451782227,4.130262851715088,7.647136688232422,-0.1028482913970947,0
1693294.1757601,113233.921875,199999.96875,199999.96875,199999.96875,287.8427734375,113334.9140625,199999.96875,-4.641524314880371,21.543746948242188,17.325729370117188,3.5898871421813965,7.647136688232422,-0.3698422312736511,0
1693294.1766954,113763.8984375,199999.96875,199999.96875,199999.96875,398.8981323242188,113673.1875,199999.96875,-5.655570983886719,31.985483169555664,15.79151439666748,3.2228503227233887,7.647136688232422,-0.5891502499580383,0
1693294.1776817,114694.984375,199999.96875,199999.96875,199999.96875,354.8622436523437,114427.5,199999.96875,-6.597633361816406,43.52876663208008,14.987652778625488,3.0305392742156982,7.647136688232422,-0.710852324962616,0
1693294.1784371,114000.3984375,199999.96875,199999.96875,199999.96875,216.0787811279297,113969.0,199999.96875,-7.442622184753418,55.39262771606445,14.878416061401367,3.0044054985046387,7.647136688232422,-0.7451050877571106,0
1693294.1932403,112752.0859375,199999.96875,199999.96875,199999.96875,250.0295867919922,112978.5859375,199999.96875,-8.166903495788574,66.69830322265625,15.390714645385742,3.126965284347534,3.373311281204224,-0.7163283228874207,0
1693294.1942659,113065.609375,199999.96875,199999.96875,199999.96875,407.6004333496094,113087.7109375,199999.96875,-8.748845100402832,76.54228210449219,16.420440673828125,3.373311281204224,3.373311281204224,-0.6335434913635254,0
1693294.1953377,114110.234375,199999.96875,199999.96875,199999.96875,379.27630615234375,113866.0,199999.96875,-9.169462203979492,84.07904052734375,17.8404541015625,3.713027238845825,3.373311281204224,-0.4921282231807709,0
1693294.1965891,113711.984375,199999.96875,199999.96875,199999.96875,231.1945343017578,113608.484375,199999.96875,-9.413172721862791,88.60782623291016,19.50979232788086,4.112390995025635,3.373311281204224,-0.2963795065879822,0
1693294.2084658,112415.296875,199999.96875,199999.96875,199999.96875,253.7012481689453,112585.046875,199999.96875,-9.4685697555542,89.65380859375,21.283611297607425,4.536749362945557,3.373311281204224,-0.0800709500908851,0
