Time, Ch01, Ch02, Ch03, Ch04, Ch05, Ch06, Ch07, Ch08
0,199999.96875,159184.59375,175814.421875,199999.96875,-6693.45947265625,32537.537109375,124351.5625,-127104.9140625
0.004,199999.96875,160423.296875,175465.546875,199999.96875,-6457.35302734375,32963.30078125,124464.6015625,-127223.4140625
0.008,199999.96875,165196.96875,175743.71875,199999.96875,-6505.46630859375,34154.9609375,124941.921875,-127064.875
0.012,199999.96875,164262.546875,175839.59375,199999.96875,-6722.97509765625,33842.23828125,124689.5625,-126695.7109375
0.016,199999.96875,159253.203125,175457.09375,199999.96875,-6692.00537109375,32602.646484375,124103.296875,-126688.3125
0.02,199999.96875,159702.546875,175268.953125,199999.96875,-6464.24365234375,32809.64453125,124273.046875,-127046.6640625
0.024,199999.96875,164476.953125,175580.328125,199999.96875,-6458.09228515625,34019.94921875,124836.5234375,-127093.984375
0.028,199999.96875,164678,175794.703125,199999.96875,-6687.35546875,33990.40625,124736.3125,-126718.4140625
0.032,199999.96875,159956.078125,175499,199999.96875,-6727.29052734375,32789.9921875,124155.5390625,-126635.9375
0.036,199999.96875,159232.671875,175238.71875,199999.96875,-6497.69384765625,32697.322265625,124189.7890625,-127034.3125
0.04,199999.96875,163640.203125,175496.625,199999.96875,-6412.26806640625,33860.375,124763.1484375,-127130.4765625
0.044,199999.96875,165057.84375,175803.25,199999.96875,-6619.90625,34149.79296875,124826.3125,-126734.484375
0.048,199999.96875,160834.046875,175586.84375,199999.96875,-6723.81005859375,33044.71875,124268.8515625,-126587.6875
0.052,199999.96875,158863.921875,175250.046875,199999.96875,-6511.49853515625,32627.51171875,124145.0234375,-126991.6640625
0.056,199999.96875,162739.671875,175427.21875,199999.96875,-6372.59521484375,33686.1171875,124688.484375,-127144.5234375
0.06,199999.96875,165334.078125,175796.671875,199999.96875,-6563.44921875,34278.92578125,124901.2890625,-126764.234375
0.064,199999.96875,161775.953125,175665.421875,199999.96875,-6712.96240234375,33318.07421875,124399.1484375,-126564.0234375
0.068,199999.96875,158625.046875,175281.203125,199999.96875,-6526.42333984375,32599.525390625,124123.9140625,-126933.25
0.072,199999.96875,161818.328125,175374.046875,199999.96875,-6347.89453125,33499.38671875,124605.75,-127138.375
0.076,199999.96875,165493.625,175775.125,199999.96875,-6512.38037109375,34372.05078125,124961.9375,-126812.671875
0.08,199999.96875,160093.25,175322.171875,199999.96875,-6220.31787109375,33585.8359375,124638.4765625,-127057.109375
0.084,199999.96875,160649.578125,175655.34375,199999.96875,-6415.65380859375,33922.9609375,124690.2890625,-126560.046875
0.088,199999.96875,158670.203125,175320.546875,199999.96875,-6207.3232421875,33507.0625,124567.0625,-126957.3359375
0.092,199999.96875,162495.75,175498.453125,199999.96875,-6051.27880859375,34568.86328125,125110.109375,-127114.609375
0.096,199999.96875,165111.875,175862.453125,199999.96875,-6245.87646484375,35164.59375,125325.6484375,-126735.734375
0.1,199999.96875,161591.09375,175734.46875,199999.96875,-6415.72509765625,34194.23828125,124819.2265625,-126539.4140625
0.104,199999.96875,158424.46875,175348.203125,199999.96875,-6239.7958984375,33466.53125,124539.125,-126902.7890625
0.108,199999.96875,161577,175440.375,199999.96875,-6039.38134765625,34375.6171875,125027.8125,-127110.75
0.112,199999.96875,165246.671875,175841.59375,199999.96875,-6191.51708984375,35251.57421875,125387.359375,-126787.5859375
0.116,199999.96875,162502.703125,175804.671875,199999.96875,-6394.7919921875,34464.86328125,124954.5625,-126546.25
