Time, Ch01, Ch02, Ch03, Ch04, Ch05, Ch06, Ch07, Ch08
0,-158.64375305175781,199999.96875,-128.36457824707031,-192.97602844238281,-103.09220123291016,199999.96875,199999.96875,370.43099975585938
0.004,77.080734252929688,199999.96875,77.986732482910156,47.850608825683594,87.16583251953125,199999.96875,199999.96875,370.69326782226562
0.008,948.2861328125,199999.96875,887.65625,913.453125,897.6937255859375,199999.96875,199999.96875,368.38055419921875
0.012,844.90789794921875,199999.96875,802.3739013671875,805.11572265625,824.76153564453125,199999.96875,199999.96875,369.07196044921875
0.016,-36.787986755371094,199999.96875,-19.26422119140625,-70.76263427734375,8.4638595581054688,199999.96875,199999.96875,370.62173461914062
0.02,-59.270862579345703,199999.96875,-48.112873077392578,-85.949913024902344,-37.741661071777344,199999.96875,199999.96875,368.71435546875
0.024,815.9876708984375,199999.96875,764.6561279296875,783.6103515625,770.3304443359375,199999.96875,199999.96875,370.12103271484375
0.028,976.2049560546875,199999.96875,923.70526123046875,934.0048828125,945.06756591796875,199999.96875,199999.96875,368.11831665039062
0.032,113.01041412353516,199999.96875,119.13777923583984,77.009201049804688,149.20236206054688,199999.96875,199999.96875,371.36077880859375
0.036,-182.81938171386719,199999.96875,-162.45845031738281,-211.40576171875,-145.91218566894531,199999.96875,199999.96875,369.9541015625
0.04,658.7982177734375,199999.96875,616.19287109375,626.13494873046875,624.15606689453125,199999.96875,199999.96875,367.665283203125
0.044,1075.530029296875,199999.96875,1014.99560546875,1033.9736328125,1031.0650634765625,199999.96875,199999.96875,368.28524780273438
0.048,285.17251586914062,199999.96875,279.76040649414062,245.83341979980469,308.60903930664062,199999.96875,199999.96875,370.025634765625
0.052,-257.802001953125,199999.96875,-232.57734680175781,-286.88909912109375,-211.45346069335938,199999.96875,199999.96875,368.5712890625
0.056,501.70425415039062,199999.96875,470.23300170898438,470.13763427734375,480.36581420898438,199999.96875,199999.96875,368.42822265625
0.06,1132.2738037109375,199999.96875,1064.8489990234375,1092.7679443359375,1080.1077880859375,199999.96875,199999.96875,368.23748779296875
0.064,436.30606079101562,199999.96875,421.71478271484375,397.84912109375,451.56484985351562,199999.96875,199999.96875,368.04678344726562
0.068,-288.10507202148438,199999.96875,-259.327880859375,-321.36444091796875,-237.63180541992188,199999.96875,199999.96875,370.95550537109375
0.072,351.40518188476562,199999.96875,331.85488891601562,321.412109375,341.58236694335938,199999.96875,199999.96875,370.025634765625
