Time, Ch01, Ch02, Ch03, Ch04, Ch05, Ch06, Ch07, Ch08, Ch09, Ch10, Ch11, Ch12, Ch13
0,199999.96875,199999.96875,199999.96875,199999.96875,75160.4140625,199999.96875,199999.96875,0.0025582816451787949,6.5448052737338003e-06,1.3089611172745208e-07,-0.55502384901046753,438.00164794921875,0.74484157562255859
0.004,199999.96875,199999.96875,199999.96875,199999.96875,75056.484375,199999.96875,199999.96875,0.037795566022396088,0.0014285048237070441,2.8700995244435035e-05,-0.55501699447631836,178829.328125,5.2447676658630371
0.008,199999.96875,199999.96875,199999.96875,199999.96875,74633.8125,199999.96875,199999.96875,0.27568784356117249,0.076003789901733398,0.0015487767523154616,-0.55465346574783325,453809,17.702816009521484
0.012,199999.96875,199999.96875,199999.96875,199999.96875,74703.4375,199999.96875,199999.96875,1.3329442739486694,1.7767404317855835,0.037083584815263748,-0.54615229368209839,6368548,39.100597381591797
0.016,199999.96875,199999.96875,199999.96875,199999.96875,75179.7109375,199999.96875,199999.96875,4.838526725769043,23.411340713500977,0.50531041622161865,-0.43413624167442322,6368548,64.804710388183594
0.02,199999.96875,199999.96875,199999.96875,199999.96875,75173.4609375,199999.96875,199999.96875,14.15251636505127,200.293701171875,4.5111837387084961,0.52420663833618164,6368548,86.68701171875
0.024,199999.96875,199999.96875,199999.96875,199999.96875,74717.4609375,199999.96875,199999.96875,34.930694580078125,1220.1533203125,28.914251327514648,6.3622612953186035,6368548,97.580665588378906
0.028,199999.96875,199999.96875,199999.96875,199999.96875,74687.2734375,199999.96875,199999.96875,75.155921936035156,5648.41259765625,141.88252258300781,33.388164520263672,6368548,95.59161376953125
0.032,199999.96875,199999.96875,199999.96875,199999.96875,75190.859375,199999.96875,199999.96875,144.40409851074219,20852.54296875,558.93341064453125,133.16110229492188,6368548,84.89117431640625
0.036,199999.96875,199999.96875,199999.96875,199999.96875,75281.859375,199999.96875,199999.96875,252.4117431640625,63711.6875,1833.1669921875,438.00164794921875,6368548,71.825439453125
