Fz,FC3,FC5,F3,FC4,FCz,Cz,Time,t_rel,idx
20.304396727954522,-56.183686779738295,-25.08350429476121,58.531287241587464,-45.42953997946881,22.21818327896833,25.642863805457992,189.408,-1.9960139000862966,7
21.877711781483445,-60.138151751437725,-24.727828641031866,59.66624282897635,-48.901199998770416,24.03999194139064,28.183233839389594,189.412,-1.9920139000862775,7
22.51381655472717,-60.6837678395301,-25.782358978135115,59.910565022678334,-49.46375038916729,24.280252471474327,29.225243157952658,189.416,-1.9880139000862869,7
22.846237442676667,-61.34963595227742,-26.22086987832524,60.3047132266889,-50.229762722281805,24.56743186296921,30.081886020549693,189.42,-1.9840139000862962,7
23.45608402245843,-64.63821262640985,-24.78460905595602,61.48556628151576,-53.23026622779452,26.017085287578407,31.694352318607823,189.424,-1.980013900086277,7
24.418525935793127,-69.81517561987923,-22.087310272207475,63.04209339729125,-57.55586861857967,28.257655769708823,33.74007940787318,189.428,-1.9760139000862864,7
25.382727125216523,-73.79205511398635,-20.05882973706004,63.89186245073498,-60.36048077470942,29.89400686986609,35.04276917993824,189.432,-1.9720139000862957,7
25.994800099004696,-74.12843114718554,-20.259319244520608,63.34571766088325,-59.67204330064694,29.879193998003522,34.840081934461644,189.436,-1.9680139000862766,7
26.205694825546704,-71.32448993834299,-22.526627091458696,61.855587331673114,-56.33666348038816,28.490095463079513,33.63640288989052,189.44,-1.964013900086286,7
26.21774119327519,-68.40661349105636,-25.051979524606043,60.72115344312093,-53.3558394379214,27.073308247640085,32.8022295695476,189.444,-1.9600139000862953,7
26.235986072646924,-68.39818592509795,-25.73527924434688,61.015808461203356,-53.379838382903415,26.914860662027284,33.346648356470695,189.448,-1.9560139000862762,7
26.352404708829276,-72.08540674755258,-23.680334441609382,62.72905414050568,-56.744413886186734,28.323897986076283,35.10479823993746,189.452,-1.9520139000862855,7
26.65936473127318,-77.90851574210076,-19.728286087560964,64.89049480334683,-61.69030861894028,30.66177570601888,37.11547520796309,189.456,-1.9480139000862948,7
27.3633599751205,-83.62766076905773,-15.797783912419758,66.47858158832483,-66.1832367742141,33.06281831296043,38.70392157928583,189.46,-1.9440139000862757,7
28.647593884543493,-87.89889954735476,-13.662987667055717,67.19123209380055,-69.35161208067632,35.01687776592726,40.057795550815484,189.464,-1.940013900086285,7
30.355044779917705,-90.42818243220097,-14.012761882930356,67.37884123723876,-71.29508080151275,36.33244658687648,41.669692512611135,189.468,-1.9360139000862944,7
31.861371726293335,-91.12459632916953,-16.24115959055089,67.34839984799041,-71.93231261712005,36.78296118068976,43.305335781866994,189.472,-1.9320139000862753,7
32.40240749951008,-89.65633616685196,-18.908163029133558,66.88202954062517,-70.53223499160777,36.05651374844255,43.75578339901551,189.476,-1.9280139000862846,7
31.667693759963,-86.05420529156059,-20.537922319971976,65.52499697754757,-66.6169807865155,34.16518124222329,41.85123641831421,189.48,-1.924013900086294,7
30.13315686879277,-81.52936230643301,-20.3721898257753,63.31934243232553,-61.18946962162685,31.810469457671786,37.82805299504506,189.484,-1.9200139000862748,7
28.77496167375397,-78.24852388334665,-18.721563857837946,61.13839778724695,-56.704296693273555,30.143675244611664,33.61734972884555,189.488,-1.9160139000862841,7
28.36536282879538,-77.95044577614802,-16.679452213357255,60.17090856777388,-55.49032460478065,30.002323946593854,31.581627251122786,189.492,-1.9120139000862935,7
28.958257684394248,-80.68407994429327,-15.300230666364877,60.99213260819824,-58.03977092040356,31.328605049763485,32.7450861887057,189.496,-1.9080139000862744,7
30.00661712904209,-84.97332583207077,-14.780123596599427,63.106067976811026,-62.8222888648608,33.356442045871674,36.106611141806205,189.5,-1.9040139000862837,7
30.96060363746524,-89.26968901652997,-14.308679461574643,65.38703285051568,-67.77317485400461,35.38173159879098,39.622175245337324,189.504,-1.900013900086293,7
31.75444572104942,-93.21063963777397,-12.792745600070177,66.97773964277636,-71.9525014790191,37.33343527540828,41.89026607762916,189.508,-1.896013900086274,7
32.734359323722266,-97.44625782310158,-9.87892934951001,67.81032090380805,-75.81886602287159,39.595714833562965,43.00365813438989,189.512,-1.8920139000862832,7
34.15447372415786,-102.36999530048571,-6.345890989511346,68.36380315829597,-80.09807552097081,42.343737144258405,43.95194778425563,189.516,-1.8880139000862926,7
35.79078437707093,-107.2574768751293,-3.457581907393114,69.03579697069131,-84.64864875555755,45.16198983452041,45.37513635579728,189.52,-1.8840139000862735,7
37.0787084814261,-110.7992104160053,-1.8594419317944302,69.79145369553565,-88.53653120805205,47.36812979426627,46.95689158462378,189.524,-1.8800139000862828,7
37.63276841976815,-112.40748595943904,-1.0884584037001606,70.3376907506768,-91.05949850881231,48.66419802172262,47.9207856797839,189.528,-1.876013900086292,7
37.619918821430595,-112.79386988141977,-0.19336708528471172,70.48799196731282,-92.42006391864118,49.375901610537156,47.9234884860651,189.532,-1.872013900086273,7
37.61165895218393,-113.14262711954595,1.1619766435293273,70.2747047765743,-93.27068108841763,50.014689641815686,47.350278193860305,189.536,-1.8680139000862823,7
38.059292385951615,-113.80628760223483,2.2631786394856177,69.77344263918017,-93.75637970683538,50.66415292688375,46.80260071756902,189.54,-1.8640139000862916,7
38.892416054455246,-114.00331746378377,2.0607894710354344,68.97951239672179,-93.28413530278752,50.88475785354674,46.46997699081208,189.544,-1.8600139000862725,7
39.59672970755925,-112.86198895325487,0.3087309227135729,67.95989202886693,-91.34873322278278,50.23545161753884,46.109917899359026,189.548,-1.8560139000862819,7
39.66033641472698,-110.60428275265592,-2.0817772993260015,67.06620308226934,-88.41549137907546,48.8075736206099,45.567438313451156,189.552,-1.8520139000862912,7
38.962668899065534,-108.46790532520487,-3.8779452632314455,66.81445541962857,-85.70171335540854,47.158084244599145,45.11235538055161,189.556,-1.848013900086272,7
37.79486464784404,-107.37831012726626,-4.688677757348287,67.39414603974082,-83.95675108324654,45.724061088465916,45.11066719181028,189.56,-1.8440139000862814,7
36.574861691204724,-106.82996415033573,-5.222888456454746,68.27714461742202,-82.57930754534507,44.39940099942383,45.38075284408497,189.564,-1.8400139000862907,7
35.56100541752441,-105.26737641518996,-6.374681717745327,68.4320019799741,-80.14914980675451,42.76293708503959,45.035263457151665,189.568,-1.8360139000862716,7
34.77912480979467,-101.62421605270706,-8.150641801390485,67.08646052175676,-75.90538651825617,40.68103806473561,43.13362097606666,189.572,-1.832013900086281,7
34.12523319170341,-96.39832157758471,-9.644016697595882,64.3863485010097,-70.60635840747463,38.559871184781834,39.57724380516027,189.576,-1.8280139000862903,7
33.4806720491033,-91.15681818684163,-10.09970589182131,61.330753657350876,-65.84580405165468,36.93325255816883,35.357649865694604,189.58,-1.8240139000862712,7
32.76425214883672,-87.10473070730532,-9.851813504735087,59.0333113806763,-62.60490847167613,35.87981544849374,31.88407370570977,189.584,-1.8200139000862805,7
31.972206341017237,-84.34134912855686,-9.986739781538779,57.98913987710841,-60.659742205823605,35.00807119934928,30.018413698444302,189.588,-1.8160139000862898,7
