LSL Time,Raw,Theta Bandpass,Power,Moving Average,Z-score,Hold,Trigger Channel,offline z-score,median,mad,LIFU,t_rel,idx
1002503.9110666,38029.03125,-8.81360149383545,77.6795654296875,48.086875915527344,10.949012756347656,10.430402755737305,-0.2113080024719238,,,,0.0,-1.9952940000221133,1
1002503.9210947,37762.14453125,-8.356216430664062,69.82635498046875,48.707366943359375,11.097455978393556,10.430402755737305,-0.2193472385406494,,,,0.0,-1.9852659000316635,1
1002503.9218798,38238.71875,-7.784257411956787,60.59465789794922,48.997802734375,11.166936874389648,10.430402755737305,-0.1294097602367401,,,,0.0,-1.9844807999907061,1
1002503.923437,38575.67578125,-7.116443634033203,50.64376831054688,48.97745895385742,11.162071228027344,10.430402755737305,0.0676444992423057,,,,0.0,-1.98292360000778,1
1002503.9322346,38143.94921875,-6.372707366943359,40.61140060424805,48.69044876098633,11.093409538269045,10.430402755737305,0.3104176521301269,,,,0.0,-1.9741260000737384,1
1002503.9336112,37723.6875,-5.573561668395996,31.06459045410156,48.20014572143555,10.976110458374023,10.430402755737305,0.4864524304866791,,,,0.0,-1.9727494000690058,1
1002503.9350745,38142.73046875,-4.739475250244141,22.46262550354004,47.581809997558594,10.828184127807615,10.430402755737305,0.5068110227584839,,,,0.0,-1.9712860999861732,1
1002503.9373777,38582.13671875,-3.890256881713867,15.134099006652832,46.9141845703125,10.668464660644531,10.430402755737305,0.3715708255767822,,,,0.0,-1.9689829000271857,1
1002503.9434404,38252.28125,-3.044492244720459,9.268933296203612,46.27096557617188,10.5145845413208,10.5145845413208,0.1497189998626709,,,,0.0,-1.9629202000796795,1
1002503.9533242,37725.3984375,-2.2190754413604736,4.924295902252197,45.71306228637695,10.381115913391112,10.5145845413208,-0.0846659764647483,,,,0.0,-1.9530364000238478,1
1002503.9535284,38048.98828125,-1.428832769393921,2.041563034057617,45.2823486328125,10.27807331085205,10.5145845413208,-0.2658039033412933,,,,0.0,-1.9528321999823675,1
1002503.9539675,38563.3984375,-0.6862297058105469,0.4709112048149109,44.99760818481445,10.209953308105469,10.5145845413208,-0.3453851640224457,,,,0.0,-1.9523931000148878,1
1002503.9633333,38342.1171875,-0.001159943640232,1.3454691725200971e-06,44.85295867919922,10.175349235534668,10.5145845413208,-0.3415509760379791,,,,0.0,-1.943027300061658,1
1002503.9661547,37766.125,0.6191866993904114,0.383392184972763,44.81892776489258,10.167208671569824,10.5145845413208,-0.3361949026584625,,,,0.0,-1.9402058999985456,1
1002503.9701568,37968.0625,1.1703710556030271,1.369768500328064,44.84600067138672,10.173683166503906,10.5145845413208,-0.3850724101066589,,,,0.0,-1.936203800025396,1
1002503.9710215,38513.96875,1.6506656408309937,2.7246971130371094,44.8702392578125,10.179481506347656,10.5145845413208,-0.451793760061264,,,,0.0,-1.935339100076817,1
1002503.9809146,38439.5625,2.0609290599823,4.247427940368652,44.8204460144043,10.167570114135742,10.025050163269045,-0.4646345674991607,,,,0.0,-1.9254460000665858,1
1002503.9811508,37848.07421875,2.4044013023376465,5.7811455726623535,44.62599563598633,10.121050834655762,10.025050163269045,-0.4217498302459717,,,,0.0,-1.9252098000142723,1
1002503.9813364,37898.73828125,2.6864383220672607,7.2169508934021,44.22471237182617,10.025050163269045,10.025050163269045,-0.3802177309989929,,,,0.0,-1.9250241999980062,1
1002503.9815331,38443.8046875,2.91418719291687,8.492487907409668,43.569854736328125,9.868385314941406,10.025050163269045,-0.3585679531097412,,,,0.0,-1.9248275000136346,1
1002503.9874718,38522.82421875,3.0962250232696533,9.58660888671875,42.6356315612793,9.644887924194336,10.025050163269045,-0.329716682434082,,,,0.0,-1.918888800079003,1
1002504.0008325,37953.5,3.2421576976776123,10.51158618927002,41.42061233520508,9.354212760925291,10.025050163269045,-0.2870462834835052,,,,0.0,-1.9055280999746174,1
1002504.0020683,37845.3984375,3.3621838092803955,11.304280281066896,39.948822021484375,9.002110481262207,10.025050163269045,-0.2430065423250198,,,,0.0,-1.9042922999942675,1
1002504.0026841,38368.65625,3.4666335582733154,12.017547607421877,38.26838302612305,8.600090026855469,10.025050163269045,-0.1896931827068328,,,,0.0,-1.9036765000782907,1
1002504.0134434,38589.0,3.565488815307617,12.7127103805542,36.4477653503418,8.164535522460938,10.025050163269045,-0.1111987084150314,,,,0.0,-1.8929171999916434,1
1002504.014069,38079.05078125,3.667927503585816,13.453692436218262,34.570152282714844,7.7153472900390625,10.025050163269045,-0.0073289410211145,,,,0.0,-1.8922916000010446,1
1002504.0154572,37802.53125,3.781896591186523,14.302742004394531,32.726409912109375,7.274260520935059,10.025050163269045,0.1052949875593185,,,,0.0,-1.8909034000243992,1
1002504.0156734,38289.1171875,3.913745403289795,15.317402839660645,31.0073299407959,6.862998008728027,10.025050163269045,0.1866967231035232,,,,0.0,-1.8906872000079602,1
1002504.0233873,38640.45703125,4.067909240722656,16.547887802124023,29.495885848999023,6.501407623291016,6.501407623291016,0.1934167593717575,,,,0.0,-1.8829733000602573,1
1002504.026367,38209.80078125,4.246665000915527,18.034164428710938,28.26030921936035,6.20581579208374,6.501407623291016,0.1276209354400634,,,,0.0,-1.8799936000723392,1
1002504.0277168,37772.73046875,4.449967861175537,19.80221176147461,27.34849548339844,5.987678527832031,6.501407623291016,0.0373288802802562,,,,0.0,-1.8786438000388443,1
1002504.0284959,38208.65625,4.675364017486572,21.85902976989746,26.78426170349121,5.852694511413574,6.501407623291016,-0.0301163997501134,,,,0.0,-1.877864700043574,1
1002504.0347834,38668.92578125,4.918008327484131,24.18680763244629,26.565683364868164,5.800402641296387,6.501407623291016,-0.054345678538084,,,,0.0,-1.8715772000141442,1
1002504.0462566,38334.65625,5.170752048492432,26.73667526245117,26.665645599365234,5.82431697845459,6.501407623291016,-0.0320511274039745,,,,0.0,-1.8601040000794455,1
1002504.0464494,37780.71875,5.424319267272949,29.42323875427246,27.034353256225582,5.912524223327637,6.501407623291016,0.0384936220943927,,,,0.0,-1.859911200008355,1
1002504.0499595,38123.70703125,5.667575836181641,32.12141799926758,27.603572845458984,6.048701286315918,6.501407623291016,0.131372183561325,,,,0.0,-1.856401100056246,1
1002504.0628879,38654.64453125,5.887877464294434,34.6671028137207,28.292139053344727,6.213430881500244,6.544409275054932,0.1741518527269363,,,,0.0,-1.8434726999839768,1
1002504.0631061,38440.30078125,6.071495056152344,36.86305618286133,29.01218605041504,6.385691165924072,6.544409275054932,0.1193285956978797,,,,0.0,-1.8432545000687242,1
1002504.0633069,37834.40625,6.204092979431152,38.49077224731445,29.67562866210937,6.544409275054932,6.544409275054932,0.011464181356132,,,,0.0,-1.843053700053133,1
1002504.0659444,38046.6484375,6.271223545074463,39.32823944091797,30.20033264160156,6.669936180114746,6.544409275054932,-0.0610719136893749,,,,0.0,-1.8404161999933422,1
1002504.0781627,38612.25,6.258856296539307,39.17327880859375,30.51558494567871,6.74535608291626,6.544409275054932,-0.0634800642728805,,,,0.0,-1.82819789997302,1
1002504.0791665,38529.15625,6.153910160064697,37.87060546875,30.566524505615234,6.757541656494141,6.544409275054932,-0.0190555360168218,,,,0.0,-1.8271941000130028,1
1002504.0803602,37906.58203125,5.944805145263672,35.3407096862793,30.3173828125,6.697938442230225,6.544409275054932,0.07847610861063,,,,0.0,-1.8260004000039771,1
1002504.0880408,37968.5859375,5.6219801902771,31.606658935546875,29.753381729125977,6.563010215759277,6.544409275054932,0.261556327342987,,,,0.0,-1.8183198000770062,1
1002504.0898292,38539.58203125,5.178380489349365,26.815624237060547,28.881372451782227,6.354395389556885,6.544409275054932,0.4836291670799255,,,,0.0,-1.816531400079839,1
1002504.0902657,38599.875,4.609855651855469,21.250768661499023,27.72928810119629,6.078777313232422,6.544409275054932,0.6218457221984863,,,,0.0,-1.8160949000157416,1
