LSL Time,Raw,Theta Bandpass,Power,Moving Average,Z-score,Hold,Trigger Channel,offline z-score,median,mad,LIFU,t_rel,idx
898964.3727191,-35183.29296875,2.0453109741210938,4.183297634124756,3.67560076713562,0.3243064284324646,0.3390154838562011,0.7044479250907898,0.3390154838562011,-0.10108106210827819,0.2644209095666409,0.0,-1.9984360999660566,5
898964.3812592,-35350.23046875,2.41717529296875,5.842736721038818,3.737084627151489,0.3390154838562011,0.3390154838562011,0.5542697906494141,0.3390154838562011,-0.10108106210827819,0.3390154838562011,0.0,-1.9898959998972714,5
898964.3823098,-35526.83203125,2.7448360919952397,7.534125328063965,3.8564066886901855,0.3675614297389984,0.3390154838562011,0.2012455463409423,0.3390154838562011,-0.10108106210827819,0.3390154838562011,0.0,-1.9888453999301419,5
898964.3926698,-35400.63671875,3.02191162109375,9.131948471069336,4.025769710540772,0.4080789089202881,0.3390154838562011,-0.1412871330976486,0.3390154838562011,-0.10108106210827819,0.3390154838562011,0.0,-1.9784853999735788,5
898964.3948991,-35197.28125,3.243219375610352,10.518470764160156,4.233514308929443,0.4577786028385162,0.3390154838562011,-0.39178267121315,0.3390154838562011,-0.10108106210827819,0.3390154838562011,0.0,-1.9762560999952257,5
898964.400403,-35321.4296875,3.404893159866333,11.593297004699709,4.465202331542969,0.5132063627243042,0.3390154838562011,-0.4075818955898285,0.3390154838562011,-0.10108106210827819,0.3390154838562011,0.0,-1.9707521999953315,5
898964.4071912,-35529.6875,3.504437208175659,12.28108024597168,4.704917907714844,0.5705545544624329,0.7681883573532104,-0.2250365763902664,0.7681883573532104,-0.0972480066120624,0.26873382343149177,0.0,-1.9639639999950305,5
898964.4109846,-35467.29296875,3.5407168865203857,12.536677360534668,4.9366607666015625,0.6259954571723938,0.7681883573532104,-0.2456667870283126,0.7681883573532104,-0.0972480066120624,0.7681883573532104,0.0,-1.9601705999812111,5
898964.4126194,-35227.3984375,3.513893842697144,12.347450256347656,5.145693778991699,0.6760033369064331,0.7681883573532104,-0.573935329914093,0.7681883573532104,-0.0972480066120624,0.7681883573532104,0.0,-1.9585357999894768,5
898964.4178603,-35295.4375,3.4253151416778564,11.73278522491455,5.319727897644043,0.7176383137702942,0.7681883573532104,-0.7486995458602905,0.7681883573532104,-0.0972480066120624,0.7681883573532104,0.0,-1.9532948998967186,5
