LSL Time,Raw,Theta Bandpass,Power,Moving Average,Z-score,Hold,Trigger Channel,offline z-score,median,mad,LIFU,t_rel,idx
555942.9422832,41977.1484375,2.1003143787384038,4.41132116317749,1.3996620178222656,-0.2201765477657318,-0.2410634458065033,-0.0429776608943939,-0.2410634458065033,-0.0199878513813018,-0.2410634458065033,0.0,-1.9906096999766305,1
555942.9486819,43096.35546875,2.160959959030152,4.669747829437256,1.4906044006347656,-0.1984200030565261,-0.2410634458065033,-0.1902413815259933,-0.2410634458065033,-0.0199878513813018,-0.2410634458065033,0.0,-1.9842109999153763,1
555942.9492305,43083.2421875,2.185361862182617,4.775806427001953,1.5814721584320068,-0.1766812801361084,-0.2410634458065033,-0.2892099320888519,-0.2410634458065033,-0.0199878513813018,-0.2410634458065033,0.0,-1.9836623999290168,1
555942.9514703,42019.15625,2.1734981536865234,4.724094390869141,1.668627142906189,-0.155830830335617,-0.2410634458065033,-0.3157464563846588,-0.2410634458065033,-0.0199878513813018,-0.2410634458065033,0.0,-1.9814225999871269,1
555942.9626791,41865.0859375,2.126037120819092,4.520033836364746,1.7487961053848269,-0.1366516351699829,-0.2410634458065033,-0.2719492018222809,-0.2410634458065033,-0.0199878513813018,-0.2410634458065033,0.0,-1.9702137999702245,1
555942.9640699,42899.30078125,2.0442957878112797,4.179144859313965,1.8193225860595703,-0.1197792887687683,-0.2410634458065033,-0.1592815369367599,-0.2410634458065033,-0.0199878513813018,-0.2410634458065033,0.0,-1.9688229999737814,1
555942.9680054,43209.01171875,1.930186867713928,3.725621461868286,1.878350615501404,-0.1056577339768409,-0.2410634458065033,-0.0016027629608288,-0.2410634458065033,-0.0199878513813018,-0.2410634458065033,0.0,-1.9648874999256805,1
555942.9709787,42189.1484375,1.7861541509628296,3.190346956253052,1.9249271154403689,-0.0945150256156921,-0.2410634458065033,0.1375345736742019,-0.2410634458065033,-0.0199878513813018,-0.2410634458065033,0.0,-1.961914199986495,1
555942.9735871,41783.3359375,1.6151069402694702,2.608570098876953,1.959025740623474,-0.0863574743270874,-0.2410634458065033,0.186069056391716,-0.2410634458065033,-0.0199878513813018,-0.2410634458065033,0.0,-1.9593057999154553,1
555942.9760757,42690.26171875,1.4203447103500366,2.01737904548645,1.981488823890686,-0.0809835195541381,-0.0809835195541381,0.1129629388451576,-0.0809835195541381,-0.0199878513813018,0.3854179696569443,0.0,-1.9568171999417245,1
555942.9778593,43296.89453125,1.2054697275161743,1.4531571865081787,1.9938997030258176,-0.0780144110321998,-0.0809835195541381,-0.037266056984663,-0.0809835195541381,-0.0199878513813018,-0.0809835195541381,0.0,-1.9550335999811068,1
